10ASub1,10ASub2,10ASub3,10BSub1,10BSub2,10BSub3,11ASub1,11ASub2,11ASub3,11BSub1,11BSub2,11BSub3,12ASub1,12ASub2,12ASub3,12BSub1,12BSub2,12BSub3,TestNG3,TestSG3
56,73,64,55,58,61,60,41,65,48,57,49,59,37,60,74.0,62.0,74.0,31,25
57,57,65,65,62,59,64,62,57,63,66,58,72,46,66,49.0,61.0,81.0,41,39
66,42,81,64,45,79,53,50,80,46,59,69,76,42,61,2.0,4.0,0.0,29,33
68,71,70,62,48,59,61,60,64,61,60,60,70,63,58,66.0,34.0,69.0,37,34
57,66,73,47,64,67,44,49,68,51,42,68,70,42,59,61.0,39.0,76.0,39,41
66,69,73,57,69,71,70,59,77,72,66,66,78,55,66,69.0,36.0,68.0,36,26
82,76,82,72,71,69,69,58,73,73,59,75,70,59,63,73.0,42.0,48.0,50,47
52,64,75,47,62,70,44,49,67,51,53,64,79,51,69,70.0,45.0,77.0,34,36
72,54,80,65,53,78,53,59,78,58,61,75,99,54,71,71.0,43.0,59.0,41,42
61,47,76,63,39,61,50,57,80,45,62,73,78,49,67,74.0,49.0,76.0,37,38
83,81,81,90,69,78,81,77,76,73,72,70,80,65,65,89.0,50.0,76.0,51,49
59,67,76,64,68,73,66,63,74,59,68,66,71,60,63,72.0,55.0,80.0,41,37
71,67,79,65,63,73,61,51,80,55,60,73,68,47,70,83.0,51.0,80.0,42,30
72,53,71,65,53,67,70,43,77,74,55,63,71,60,66,86.0,53.0,80.0,43,42
74,68,74,83,63,80,70,64,77,71,67,80,79,68,67,81.0,53.0,58.0,51,48
63,57,82,62,61,79,63,62,68,61,61,68,72,62,68,80.0,62.0,84.0,41,28
63,60,72,62,58,50,70,50,54,73,62,49,75,60,62,80.0,62.0,83.0,47,35
76,73,81,75,62,78,65,70,70,78,69,72,79,65,70,74.0,62.0,89.0,42,31
60,72,70,63,59,68,61,62,67,63,65,65,80,51,63,75.0,61.0,79.0,42,39
69,77,80,66,67,81,68,66,70,74,83,73,80,81,70,92.0,62.0,91.0,50,36
72,62,86,76,61,77,73,51,79,72,59,79,94,64,72,82.0,66.0,87.0,47,46
71,62,77,70,67,78,68,61,68,68,68,63,75,67,69,75.0,64.0,84.0,44,45
86,73,81,84,58,74,78,64,74,81,74,63,76,75,59,91.0,69.0,68.0,51,45
77,77,73,73,70,73,77,62,77,77,56,78,87,75,84,86.0,68.0,84.0,47,46
74,75,87,80,63,68,81,49,68,81,72,72,85,62,77,84.0,72.0,91.0,44,47
84,72,86,79,59,80,76,67,72,73,58,68,87,75,69,86.0,72.0,79.0,49,47
85,68,78,81,61,79,70,71,71,71,72,68,79,72,69,89.0,71.0,81.0,45,45
62,62,75,69,67,70,77,80,75,82,83,74,69,78,70,87.0,73.0,85.0,52,46
69,73,79,72,67,73,61,71,74,66,82,74,80,85,74,86.0,72.0,88.0,51,51
85,75,81,85,69,80,80,70,73,82,75,67,90,86,72,86.0,73.0,89.0,48,36
68,70,84,70,72,73,65,74,74,69,71,74,73,72,70,80.0,78.0,81.0,51,50
73,89,76,73,83,66,72,79,71,77,79,65,80,97,66,80.0,76.0,2.0,51,38
79,78,80,72,82,79,72,82,81,76,84,75,78,85,70,80.0,82.0,76.0,53,39
82,73,81,82,79,78,82,69,83,78,77,79,78,83,73,93.0,86.0,90.0,47,35
88,89,93,90,94,89,91,79,85,91,81,88,102,92,86,97.0,92.0,96.0,57,42
94,86,93,92,89,88,89,85,91,93,86,91,98,101,90,97.0,98.0,101.0,58,43
60,68,66,60,53,62,50,62,54,45,58,54,52,60,42,48.0,49.0,63.0,28,21
62,63,70,62,49,38,64,51,62,70,72,63,81,63,57,74.0,57.0,74.0,41,43
71,64,78,64,63,64,52,43,59,50,50,54,65,63,61,70.0,59.0,13.0,36,37
60,69,67,62,71,53,73,67,61,4,4,0,4,1,4,73.0,61.0,6.0,50,37
53,56,72,58,59,63,50,48,71,44,56,72,76,70,65,76.0,61.0,42.0,45,43
73,72,77,60,82,70,60,66,69,69,68,69,70,78,65,79.0,61.0,70.0,47,45
83,59,65,84,49,54,81,66,66,79,62,61,100,70,44,85.0,63.0,47.0,43,37
73,66,73,67,63,68,63,58,73,62,63,66,98,66,76,79.0,61.0,36.0,38,37
53,51,71,65,57,68,67,61,62,68,70,59,61,65,46,74.0,61.0,28.0,40,28
61,62,70,62,59,69,59,48,73,73,55,80,7,2,2,51.0,65.0,2.0,35,28
67,70,77,73,60,76,55,61,63,63,63,59,72,70,58,63.0,67.0,0.0,40,30
68,71,69,64,60,60,72,74,67,63,83,59,90,68,52,76.0,70.0,9.0,47,34
63,63,77,63,58,70,63,62,75,69,64,72,95,71,72,69.0,71.0,67.0,39,41
63,76,74,65,68,66,58,68,73,65,68,73,92,75,75,79.0,72.0,72.0,48,45
59,74,81,66,73,74,69,59,69,76,60,69,80,73,65,80.0,71.0,63.0,46,33
77,64,78,75,68,70,70,69,75,68,63,69,70,74,59,71.0,71.0,20.0,39,29
66,68,71,72,76,71,67,66,71,65,65,63,77,74,62,62.0,74.0,27.0,42,41
67,84,77,65,64,66,75,71,64,68,68,61,77,74,75,86.0,71.0,60.0,51,49
20,55,58,26,54,59,26,52,60,30,58,58,62,73,50,52.0,73.0,60.0,24,26
56,69,66,69,61,64,82,72,59,84,73,61,63,74,56,87.0,76.0,49.0,43,31
76,70,78,78,68,76,74,67,71,73,73,78,68,78,69,81.0,77.0,45.0,52,38
83,72,81,82,70,76,70,71,75,73,78,77,93,77,68,81.0,76.0,85.0,51,47
83,57,78,78,62,69,73,66,73,71,75,76,79,83,68,79.0,77.0,82.0,48,45
78,90,74,81,89,67,80,88,69,84,86,63,74,88,64,93.0,77.0,67.0,53,40
73,83,86,70,78,78,81,70,75,81,76,74,77,82,75,82.0,81.0,90.0,47,44
75,73,83,78,69,82,63,79,71,74,76,69,82,90,76,83.0,81.0,76.0,49,48
77,79,84,81,81,83,77,71,81,83,83,78,73,81,75,85.0,81.0,45.0,49,46
70,75,83,75,78,76,77,82,75,73,83,74,93,86,78,87.0,85.0,88.0,54,39
92,87,82,90,74,82,90,69,80,93,81,78,80,89,75,93.0,84.0,47.0,52,39
73,77,79,72,80,73,68,74,70,72,81,70,76,94,70,77.0,84.0,49.0,51,38
77,67,76,70,59,66,79,71,75,78,71,68,62,85,70,86.0,88.0,49.0,51,38
76,75,83,73,65,77,72,71,75,79,73,71,82,84,74,90.0,91.0,92.0,47,46
79,73,87,83,74,85,85,79,83,87,85,76,82,88,80,85.0,88.0,90.0,51,51
86,71,89,85,74,90,92,73,84,90,75,83,87,86,79,86.0,90.0,82.0,53,54
83,90,88,82,95,79,84,82,76,88,86,75,62,97,66,87.0,93.0,84.0,55,49
55,53,77,58,66,75,43,40,62,33,38,65,0,1,60,69.0,31.0,38.0,35,36
54,58,68,56,58,48,60,50,68,58,50,63,81,52,71,73.0,46.0,86.0,41,30
63,62,66,64,53,59,62,57,67,65,58,66,25,48,63,78.0,51.0,76.0,37,38
68,63,84,62,67,78,60,64,80,61,73,73,80,76,76,82.0,56.0,85.0,49,48
50,72,76,50,62,52,47,51,70,54,52,75,74,68,70,68.0,59.0,73.0,41,30
67,68,75,62,74,73,61,69,72,61,65,64,74,61,60,83.0,59.0,88.0,44,44
73,68,79,75,71,75,62,55,56,74,69,70,86,75,70,78.0,61.0,83.0,45,43
55,80,75,60,60,65,62,62,72,66,66,70,73,46,69,85.0,60.0,83.0,48,46
76,67,76,73,58,66,75,62,70,77,71,56,73,64,60,81.0,60.0,84.0,40,42
86,67,76,80,51,71,77,69,73,73,71,72,72,49,69,77.0,58.0,81.0,44,43
70,84,86,75,81,82,80,76,76,79,74,81,78,76,78,88.0,62.0,81.0,54,53
58,49,79,61,71,62,58,73,70,60,71,78,88,70,61,76.0,61.0,67.0,48,47
70,45,66,62,52,70,50,47,69,49,48,66,71,54,61,71.0,62.0,82.0,36,26
59,71,73,61,67,62,68,67,62,67,75,63,81,79,64,82.0,64.0,77.0,52,38
78,59,86,81,68,78,74,67,78,70,70,71,84,63,66,82.0,63.0,86.0,42,42
59,69,66,61,63,67,60,67,64,60,69,64,84,64,63,76.0,62.0,91.0,39,41
77,68,82,79,68,80,76,63,68,74,67,64,81,59,67,81.0,62.0,82.0,43,43
57,69,78,51,66,55,59,69,67,57,69,59,88,63,60,76.0,69.0,79.0,39,41
78,76,83,78,64,71,78,77,68,85,78,61,68,84,65,84.0,69.0,84.0,46,34
77,76,86,81,76,82,84,68,72,84,78,71,82,83,67,89.0,72.0,82.0,49,37
74,51,62,61,50,53,76,53,54,68,45,54,76,53,62,87.0,74.0,83.0,46,33
77,72,81,76,69,76,76,64,77,85,62,77,76,80,75,87.0,72.0,77.0,42,31
52,75,72,49,75,67,55,75,59,60,78,57,74,83,65,76.0,75.0,72.0,43,42
82,77,79,81,71,79,77,66,78,78,80,76,81,81,74,89.0,76.0,86.0,58,43
59,67,76,69,72,65,73,69,78,76,81,72,83,81,65,92.0,74.0,78.0,52,37
55,71,73,66,60,73,69,65,69,74,71,71,93,77,66,79.0,76.0,84.0,50,48
78,71,89,76,69,78,71,72,72,76,79,75,78,79,71,81.0,81.0,83.0,47,46
71,79,81,73,81,74,83,83,82,86,84,75,84,87,77,85.0,79.0,80.0,54,40
73,71,79,72,72,74,69,69,73,62,69,71,81,89,65,81.0,79.0,83.0,50,36
77,80,83,81,71,76,83,73,81,89,73,84,73,79,76,90.0,85.0,82.0,53,47
71,83,64,65,71,65,77,73,62,69,74,64,76,82,55,81.0,89.0,77.0,41,39
67,71,81,72,70,81,84,66,79,76,76,73,83,81,77,90.0,92.0,85.0,52,38
83,88,81,85,84,85,86,91,76,92,90,71,76,90,74,87.0,93.0,83.0,51,46
84,88,79,85,84,75,82,81,71,83,76,69,82,90,66,95.0,90.0,88.0,51,49
90,83,84,84,78,81,86,82,79,85,87,73,81,84,81,92.0,92.0,90.0,55,55
33,47,58,41,44,56,38,38,52,38,41,42,66,29,48,58.0,33.0,89.0,25,28
49,59,72,60,60,76,55,57,73,58,56,69,80,39,75,78.0,44.0,87.0,34,24
88,69,85,85,65,81,83,60,77,86,65,76,66,45,76,98.0,46.0,93.0,47,48
67,62,80,69,60,68,63,58,68,70,68,63,85,50,72,88.0,61.0,91.0,45,45
53,65,53,58,43,62,57,44,77,51,54,75,75,58,68,69.0,59.0,88.0,38,39
57,56,67,56,63,61,66,56,71,65,65,63,78,62,75,84.0,62.0,92.0,31,32
62,67,68,68,70,63,64,70,62,68,74,61,86,72,72,87.0,62.0,90.0,47,44
61,66,65,62,56,49,59,56,58,60,62,56,76,60,74,81.0,60.0,88.0,39,38
69,60,76,66,63,73,60,72,74,57,72,70,75,53,71,78.0,59.0,92.0,39,35
68,76,87,67,64,80,65,64,76,68,69,68,83,50,81,82.0,62.0,93.0,46,47
72,61,77,72,63,76,65,56,79,70,59,76,86,61,84,93.0,61.0,93.0,50,45
74,80,75,78,77,68,84,70,70,77,75,71,90,74,77,91.0,58.0,95.0,51,51
79,59,77,72,65,68,63,58,68,70,64,76,90,59,82,83.0,61.0,96.0,45,44
82,78,89,75,71,84,87,67,88,87,73,81,89,58,86,94.0,58.0,98.0,45,46
85,71,90,82,63,82,83,78,82,87,82,84,88,72,84,92.0,60.0,96.0,41,43
60,61,66,63,58,68,69,74,68,68,81,72,74,63,73,91.0,61.0,92.0,49,46
61,82,70,67,73,65,63,72,70,66,79,71,69,69,75,81.0,60.0,96.0,50,37
73,63,86,77,60,78,65,66,74,64,64,68,85,68,78,86.0,67.0,96.0,48,45
88,86,78,83,88,66,75,76,76,2,4,6,71,76,75,87.0,65.0,97.0,55,40
65,68,81,71,66,70,71,73,84,63,69,74,98,75,80,93.0,66.0,96.0,50,38
74,72,78,69,70,74,72,77,81,73,76,76,80,71,75,91.0,66.0,95.0,49,48
75,82,83,68,69,76,72,78,78,71,75,69,81,69,89,92.0,70.0,95.0,48,47
88,63,83,80,71,73,79,72,76,79,71,76,74,73,74,90.0,71.0,92.0,47,43
91,78,84,85,78,80,96,80,73,90,85,67,89,77,80,95.0,70.0,95.0,56,54
77,72,88,78,69,84,84,71,80,87,75,79,83,73,88,92.0,70.0,96.0,53,54
68,71,80,72,73,74,66,72,76,64,79,72,80,68,76,80.0,75.0,94.0,42,42
75,86,75,68,70,64,73,80,71,73,77,66,86,75,79,90.0,77.0,94.0,50,48
67,84,74,74,75,68,78,78,80,86,81,79,86,79,77,95.0,80.0,95.0,57,56
72,73,81,72,62,79,73,66,78,74,64,77,82,75,82,89.0,77.0,96.0,45,44
82,87,88,84,87,88,81,79,79,83,82,78,88,77,81,89.0,80.0,95.0,49,47
59,68,75,64,67,72,61,74,70,59,77,69,94,72,80,87.0,80.0,94.0,45,43
68,82,79,72,84,81,71,67,81,77,81,78,85,73,85,87.0,81.0,92.0,46,49
61,68,73,54,66,75,69,68,80,64,72,78,83,77,79,86.0,82.0,96.0,42,44
61,74,74,70,73,75,64,63,82,73,75,75,87,75,78,93.0,84.0,96.0,50,50
83,90,85,86,87,88,93,86,79,94,92,82,96,92,84,98.0,87.0,97.0,57,54
89,84,89,85,84,86,98,84,83,95,83,80,89,88,88,101.0,85.0,94.0,55,55
79,85,90,82,92,90,86,77,85,84,85,82,89,92,83,94.0,93.0,96.0,53,52
95,85,91,96,86,93,93,90,90,93,89,87,86,92,95,96.0,96.0,95.0,57,56
75,47,82,71,40,66,68,53,72,74,54,76,86,47,75,2.0,1.0,0.0,41,44
78,69,81,66,47,62,57,38,76,53,60,60,71,39,68,4.0,31.0,77.0,34,27
55,48,61,52,51,46,44,37,67,53,50,61,65,43,59,73.0,40.0,76.0,33,24
58,49,71,54,50,65,45,33,61,44,43,52,75,33,57,63.0,39.0,71.0,32,31
71,61,76,72,54,81,59,62,68,59,62,70,72,46,72,72.0,41.0,68.0,38,40
69,63,82,81,64,76,76,61,82,71,59,78,91,60,69,77.0,42.0,71.0,44,42
51,51,67,55,55,66,61,62,70,55,66,72,58,49,63,58.0,42.0,73.0,36,27
70,53,69,66,61,67,68,44,64,65,64,58,88,42,75,90.0,47.0,85.0,40,37
62,58,65,62,50,61,60,53,71,64,58,73,81,58,66,63.0,50.0,78.0,46,42
66,58,71,71,59,71,71,61,73,63,62,70,80,41,66,80.0,47.0,79.0,43,42
54,58,56,55,51,52,62,65,62,70,67,63,64,59,71,4.0,49.0,75.0,46,43
87,69,85,84,60,77,83,54,75,80,61,66,67,60,71,87.0,50.0,80.0,44,33
48,67,74,51,64,75,30,55,73,30,60,72,74,60,73,59.0,60.0,80.0,43,41
61,73,76,60,75,61,49,65,61,48,72,63,83,61,67,67.0,62.0,87.0,43,32
69,63,78,69,58,75,71,58,77,63,77,77,64,62,72,85.0,61.0,87.0,45,34
73,88,78,71,77,73,67,66,78,73,73,78,81,69,78,77.0,61.0,80.0,51,48
73,70,83,71,80,76,74,68,72,71,70,66,79,60,73,76.0,62.0,66.0,40,41
74,72,82,71,64,78,75,67,70,74,69,70,58,65,74,68.0,58.0,71.0,48,47
81,81,68,80,64,57,90,82,79,85,80,51,69,61,43,71.0,61.0,0.0,57,42
79,70,84,77,63,79,64,64,75,72,71,78,85,72,77,90.0,61.0,84.0,46,45
85,69,86,81,72,74,68,55,75,66,69,73,89,66,71,89.0,62.0,74.0,37,36
90,85,89,86,83,85,79,79,81,80,87,79,70,70,78,87.0,60.0,86.0,56,55
73,65,83,67,67,86,69,58,81,79,71,80,88,63,79,82.0,65.0,89.0,46,46
73,81,85,72,74,79,73,69,72,71,76,68,84,68,76,89.0,61.0,89.0,50,48
66,58,78,80,65,75,84,61,76,89,61,83,71,64,77,89.0,62.0,88.0,49,48
76,91,82,74,80,79,72,80,71,70,85,60,65,84,74,77.0,62.0,79.0,48,46
76,80,68,76,75,73,65,70,78,70,61,69,84,68,76,90.0,66.0,89.0,45,44
82,84,77,82,71,77,79,72,76,80,77,80,86,75,69,93.0,65.0,76.0,52,48
74,79,77,77,75,64,78,81,75,71,77,61,75,74,80,95.0,69.0,84.0,46,46
65,75,80,60,67,66,47,71,71,61,69,68,72,59,64,66.0,69.0,74.0,40,42
82,81,80,75,73,73,85,70,76,84,76,76,79,79,79,4.0,70.0,75.0,55,41
66,70,78,70,73,68,54,66,69,58,62,62,96,60,75,86.0,73.0,84.0,45,44
72,73,78,77,76,80,78,71,79,73,78,78,81,80,82,91.0,74.0,75.0,53,53
87,89,88,82,89,90,84,83,79,76,77,75,87,81,82,96.0,75.0,79.0,55,55
93,87,87,87,81,88,87,89,87,81,80,81,82,77,84,89.0,79.0,91.0,58,57
75,65,70,72,66,69,78,75,72,77,79,75,84,77,75,91.0,79.0,84.0,56,42
94,81,86,91,77,88,94,82,78,93,77,82,79,84,83,96.0,81.0,87.0,55,53
78,92,80,74,83,71,82,81,69,89,82,68,81,92,78,97.0,80.0,88.0,58,43
76,73,79,76,78,82,81,80,82,80,85,76,75,82,77,60.0,83.0,66.0,48,36
70,82,81,78,73,75,87,81,76,89,74,69,92,81,79,96.0,91.0,84.0,54,50
51,49,49,56,27,49,61,60,58,65,59,52,73,61,7,4.0,2.0,6.0,35,26
71,46,78,65,47,75,59,43,60,49,38,6,6,44,4,4.0,2.0,0.0,32,34
53,39,74,58,44,72,51,38,63,47,41,49,75,52,61,78.0,52.0,80.0,29,34
82,78,85,77,71,84,78,62,84,78,69,81,86,69,73,88.0,52.0,66.0,43,48
58,70,69,58,77,64,58,62,73,60,62,73,80,68,67,76.0,57.0,51.0,48,48
64,51,72,69,45,58,77,57,64,72,59,60,75,74,68,83.0,56.0,68.0,40,30
93,98,81,92,100,77,94,96,79,91,100,84,42,101,82,98.0,98.0,43.0,59,44
88,71,55,86,60,56,87,69,69,86,62,71,67,56,49,102.0,61.0,66.0,51,38
54,70,78,50,63,66,51,58,68,54,62,69,75,50,68,63.0,65.0,77.0,40,39
66,62,71,69,60,73,69,60,70,67,70,67,71,73,62,85.0,67.0,1.0,47,34
63,58,74,68,66,78,81,71,72,78,71,74,82,79,72,94.0,67.0,84.0,51,49
83,72,80,88,65,79,94,77,88,89,69,85,62,79,69,100.0,69.0,83.0,51,37
82,79,87,81,67,77,77,73,76,74,72,70,81,76,77,77.0,66.0,84.0,49,37
85,77,85,80,73,83,85,70,76,89,71,73,88,73,78,91.0,68.0,88.0,47,46
61,64,77,68,65,70,66,62,77,70,75,74,88,68,78,91.0,71.0,90.0,45,44
75,85,82,79,73,77,74,81,82,72,80,71,89,89,75,94.0,70.0,81.0,54,52
59,63,70,57,65,74,65,53,74,60,66,71,75,69,72,79.0,70.0,86.0,45,32
79,79,74,71,77,76,80,69,73,86,76,73,75,73,69,95.0,74.0,63.0,51,48
82,64,83,83,65,84,88,67,75,84,62,77,0,81,75,97.0,70.0,69.0,54,52
61,64,83,62,66,77,59,52,62,58,62,67,82,69,66,92.0,74.0,24.0,45,44
76,79,76,72,61,66,81,74,76,77,77,68,75,84,71,94.0,75.0,78.0,51,37
87,90,89,86,67,83,85,82,79,83,73,77,95,79,80,97.0,77.0,91.0,51,51
70,77,73,75,70,74,65,74,73,69,87,71,77,86,73,80.0,75.0,70.0,45,44
76,71,77,77,62,75,89,63,73,92,73,71,90,81,73,97.0,76.0,4.0,48,46
70,72,78,65,62,77,69,61,71,70,59,72,86,80,81,83.0,79.0,6.0,43,42
81,79,81,77,70,74,77,65,76,77,79,74,76,82,61,87.0,76.0,43.0,48,36
87,78,81,85,60,81,90,69,75,86,80,73,74,73,72,93.0,76.0,74.0,50,50
70,56,67,72,62,77,84,68,72,79,70,76,71,73,77,92.0,77.0,49.0,48,34
84,66,85,88,67,85,93,66,77,96,68,79,65,71,80,91.0,76.0,88.0,48,44
79,77,86,86,80,84,88,79,84,92,83,81,77,88,84,95.0,81.0,88.0,55,52
92,86,95,90,82,90,95,84,82,92,91,81,87,93,83,99.0,78.0,89.0,55,52
80,64,74,69,52,67,91,78,75,85,87,65,92,88,76,97.0,82.0,75.0,55,53
90,77,84,83,74,74,86,68,74,87,73,77,23,82,82,97.0,80.0,85.0,54,54
83,95,84,88,92,81,86,88,85,90,90,80,78,92,80,91.0,85.0,88.0,56,53
82,94,84,86,85,82,89,79,86,84,84,83,77,90,75,95.0,87.0,45.0,54,49
91,81,83,89,79,78,95,79,79,98,80,75,89,89,59,2.0,88.0,6.0,57,42
86,84,91,84,84,90,85,69,84,86,75,85,79,96,80,93.0,90.0,59.0,56,41
80,68,82,71,69,79,74,59,69,78,71,66,80,83,76,100.0,95.0,68.0,51,50
88,90,87,88,87,84,93,79,81,97,90,79,89,87,84,100.0,97.0,91.0,58,55
91,94,86,99,94,91,91,91,88,90,96,85,90,101,90,101.0,98.0,88.0,59,44
87,61,78,81,59,80,82,39,74,76,62,78,77,49,73,87.0,46.0,90.0,42,43
87,66,78,77,64,78,85,53,76,84,76,74,78,77,73,85.0,54.0,94.0,52,49
87,67,78,83,59,74,85,62,80,80,72,78,80,65,80,83.0,60.0,86.0,47,45
89,72,80,89,67,80,88,70,78,82,72,74,80,71,71,91.0,62.0,86.0,48,36
88,78,85,76,66,89,75,64,84,78,78,75,66,67,80,77.0,62.0,80.0,49,50
80,59,77,83,57,78,81,61,73,79,62,71,74,58,75,91.0,62.0,89.0,47,36
83,61,81,83,62,83,90,56,81,84,68,78,83,63,85,100.0,60.0,90.0,54,51
88,73,76,83,66,71,76,52,67,88,60,66,85,59,74,94.0,59.0,95.0,45,34
96,79,85,95,77,85,96,72,83,97,76,77,92,76,84,91.0,58.0,99.0,52,54
90,58,85,90,73,81,90,63,82,83,69,85,85,62,81,92.0,63.0,86.0,51,49
88,73,79,87,62,76,88,60,80,78,67,70,81,64,74,96.0,62.0,88.0,46,47
90,75,77,94,77,78,87,73,76,89,72,76,86,71,71,87.0,65.0,83.0,50,37
92,72,82,90,69,80,88,63,78,87,68,70,82,63,75,91.0,64.0,93.0,45,45
96,86,92,89,78,87,93,71,88,93,85,85,89,89,83,90.0,68.0,99.0,56,56
80,62,77,82,61,75,81,57,78,82,68,74,79,64,71,90.0,73.0,92.0,45,35
86,77,84,89,68,83,84,67,76,86,79,76,80,77,76,85.0,74.0,91.0,53,39
92,70,74,86,69,65,94,65,67,93,62,59,87,63,65,94.0,71.0,88.0,47,46
95,78,76,90,77,77,93,70,74,90,69,75,86,73,75,89.0,76.0,84.0,54,48
97,88,82,96,73,84,94,79,84,94,82,76,92,82,82,100.0,77.0,1.0,57,42
85,62,68,79,55,71,76,52,66,73,66,72,71,72,66,93.0,80.0,84.0,47,35
94,81,78,92,66,77,92,72,79,88,74,69,85,73,71,95.0,81.0,87.0,47,35
88,89,83,93,76,81,90,74,82,93,86,79,88,86,75,90.0,85.0,80.0,52,38
94,91,85,95,86,87,91,90,83,89,92,86,84,93,87,90.0,88.0,80.0,59,58
84,82,69,92,82,81,92,84,76,90,88,72,87,92,59,100.0,92.0,93.0,54,39
93,85,86,95,83,84,90,78,82,97,93,76,92,86,82,100.0,89.0,100.0,54,40
89,81,84,88,76,85,93,78,79,94,87,78,84,86,73,93.0,91.0,84.0,54,40
92,74,80,91,77,83,92,82,80,93,85,80,89,90,75,94.0,90.0,92.0,56,53
94,89,86,90,83,85,85,87,85,83,91,83,84,93,82,94.0,93.0,92.0,57,57
94,80,90,92,79,84,93,73,87,89,85,84,89,87,86,97.0,95.0,97.0,51,52
91,78,87,95,82,91,93,93,82,94,98,83,90,94,83,93.0,94.0,79.0,58,54
95,93,89,95,88,97,97,96,92,98,97,88,94,100,91,97.0,98.0,93.0,59,44
87,67,82,85,61,75,80,49,72,74,49,63,72,47,69,87.0,60.0,95.0,37,40
66,56,73,54,43,70,62,58,75,56,55,59,79,31,60,36.0,27.0,83.0,36,35
0,6,0,2,4,1,54,64,82,51,59,75,83,46,69,70.0,43.0,87.0,42,41
81,66,85,84,61,82,86,62,73,86,74,71,63,62,66,90.0,49.0,78.0,45,46
67,50,80,59,45,77,40,60,76,41,48,74,63,41,68,68.0,52.0,81.0,32,34
68,60,71,72,59,52,65,50,80,73,72,67,72,62,70,82.0,51.0,86.0,44,33
81,64,84,80,61,79,73,59,77,77,60,65,69,51,79,90.0,52.0,84.0,50,48
81,60,81,70,65,73,64,64,67,59,63,59,75,52,66,85.0,53.0,88.0,45,41
64,53,60,57,58,57,62,65,47,55,68,46,83,59,61,53.0,57.0,80.0,38,26
67,66,73,64,67,69,61,68,73,64,65,71,77,56,76,81.0,60.0,93.0,45,45
67,66,88,65,61,78,67,59,80,60,72,70,95,61,68,81.0,62.0,76.0,44,45
77,76,77,79,65,71,73,65,72,78,63,70,82,54,73,90.0,59.0,89.0,48,42
85,61,79,81,66,81,77,72,80,75,67,78,81,62,71,89.0,62.0,88.0,47,47
82,71,77,86,75,74,91,67,75,92,73,76,76,64,75,95.0,60.0,84.0,51,49
60,66,72,53,62,63,53,58,68,50,60,74,71,56,65,80.0,62.0,84.0,43,43
67,67,82,64,60,76,72,61,82,74,73,87,101,65,72,91.0,59.0,89.0,48,47
66,63,77,65,59,77,55,49,71,59,66,72,77,59,63,90.0,58.0,85.0,44,42
73,74,77,76,59,68,67,56,74,66,69,63,60,51,67,81.0,61.0,82.0,39,39
77,81,80,74,77,74,79,76,79,72,83,75,89,66,66,80.0,60.0,84.0,46,34
77,70,75,76,65,77,70,63,73,70,71,68,82,67,71,79.0,61.0,79.0,49,46
84,79,71,80,71,73,83,75,71,72,77,71,73,70,77,87.0,59.0,78.0,51,38
67,51,69,69,49,58,52,44,71,61,52,74,63,53,71,73.0,62.0,74.0,39,40
79,61,87,77,59,84,66,58,80,76,66,84,89,55,73,88.0,62.0,86.0,43,42
78,79,85,80,71,76,79,65,74,77,71,72,82,59,68,94.0,64.0,87.0,48,48
75,74,82,79,70,76,73,70,80,79,69,85,67,65,76,85.0,63.0,87.0,52,50
78,58,84,80,62,79,83,56,82,84,63,83,92,49,77,95.0,63.0,89.0,47,51
84,70,78,85,60,75,80,71,79,89,79,83,71,76,73,95.0,64.0,84.0,52,48
65,62,74,67,71,77,61,51,76,73,73,74,85,65,64,92.0,68.0,84.0,44,42
69,75,79,67,67,73,69,60,76,80,73,71,61,65,74,79.0,67.0,84.0,49,44
80,87,79,71,85,72,57,73,78,63,75,73,59,66,68,78.0,64.0,79.0,42,40
76,62,78,78,64,82,79,73,84,78,73,74,78,74,75,94.0,67.0,84.0,49,50
58,66,75,60,63,72,65,66,74,64,64,69,81,58,71,89.0,66.0,84.0,49,49
78,75,82,81,83,83,82,76,75,83,70,80,83,85,78,89.0,68.0,77.0,54,53
85,74,87,84,79,91,92,70,86,93,75,90,102,76,84,97.0,71.0,90.0,51,49
86,81,80,85,77,82,84,73,80,87,81,74,82,75,72,95.0,73.0,84.0,50,48
67,74,84,68,69,72,72,60,74,65,65,69,72,54,68,92.0,78.0,83.0,41,40
77,90,85,82,85,82,83,82,70,84,82,72,84,83,70,94.0,82.0,76.0,51,38
71,86,82,84,80,83,66,72,83,78,90,82,77,78,75,89.0,84.0,86.0,53,50
93,99,92,89,87,86,87,92,86,89,88,87,92,92,79,95.0,84.0,86.0,55,56
51,59,76,51,54,68,34,51,51,34,49,52,72,44,58,61.0,62.0,83.0,35,33
69,59,76,71,34,70,60,49,67,64,60,69,96,55,61,85.0,62.0,80.0,35,35
78,70,88,70,62,89,66,42,83,76,52,81,87,64,87,87.0,79.0,89.0,40,44
86,63,75,87,59,62,75,45,66,77,62,69,84,85,77,93.0,85.0,61.0,50,54
89,66,95,91,58,94,95,58,85,89,51,74,85,55,87,97.0,85.0,95.0,46,49
71,68,77,68,60,75,67,45,72,64,56,67,86,74,74,85.0,84.0,60.0,26,38
76,69,84,80,66,86,82,56,77,83,66,72,77,80,87,94.0,87.0,89.0,39,54
