ID,Gd,Md,Dd,Ed,SE,AI,CI,LA,LAT,CH,PA,LS
TNFSH2067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
TNFSH2068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
TNFSH2082,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
TNFSH2086,Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
TNFSH2087,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
TNFSH2097,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
TNFSH2098,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
TNFSH2100,Male,No,,Graduate,No,2833,0,71,360,1,Urban,Y
TNFSH2101,Male,Yes,0,Graduate,,63337,0,490,180,1,Urban,Y
TNFSH2103,,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Y
TNFSH2106,Male,Yes,,Graduate,Yes,5503,4490,70,,1,Semiurban,Y
TNFSH2110,Male,Yes,1,Graduate,,5250,688,160,360,1,Rural,Y
TNFSH2112,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
TNFSH2113,Female,No,3+,Not Graduate,No,1830,0,,360,0,Urban,N
TNFSH2114,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Y
TNFSH2115,Male,Yes,3+,Not Graduate,No,2647,1587,173,360,1,Rural,N
TNFSH2116,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
TNFSH2119,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Y
TNFSH2126,Male,Yes,3+,Not Graduate,No,3173,0,74,360,1,Semiurban,Y
TNFSH2128,Male,Yes,2,Graduate,,2583,2330,125,360,1,Rural,Y
TNFSH2129,Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Y
TNFSH2130,Male,Yes,,Not Graduate,No,3523,3230,152,360,0,Rural,N
TNFSH2131,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
TNFSH2137,Male,Yes,0,Graduate,No,6333,4583,259,360,,Semiurban,Y
TNFSH2138,Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
TNFSH2139,Male,Yes,0,Graduate,No,9083,0,228,360,1,Semiurban,Y
TNFSH2140,Male,No,0,Graduate,No,8750,4167,308,360,1,Rural,N
TNFSH2141,Male,Yes,3+,Graduate,No,2666,2083,95,360,1,Rural,Y
TNFSH2142,Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,N
TNFSH2143,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Y
TNFSH2144,Female,No,,Graduate,No,3813,0,116,180,1,Urban,Y
TNFSH2149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Y
TNFSH2151,Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,N
TNFSH2158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,N
TNFSH2160,Male,Yes,3+,Graduate,No,5167,3167,200,360,1,Semiurban,Y
TNFSH2161,Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
TNFSH2170,Male,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,Y
TNFSH2175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Y
TNFSH2178,Male,Yes,0,Graduate,No,3013,3033,95,300,,Urban,Y
TNFSH2180,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
TNFSH2181,Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,N
TNFSH2187,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
TNFSH2188,Male,No,0,Graduate,No,5124,0,124,,0,Rural,N
TNFSH2190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
TNFSH2191,Male,Yes,0,Graduate,No,19730,5266,570,360,1,Rural,N
TNFSH2194,Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
TNFSH2197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
TNFSH2201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Y
TNFSH2205,Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,N
TNFSH2209,Female,No,0,Graduate,,2764,1459,110,360,1,Urban,Y
TNFSH2211,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
TNFSH2219,Male,Yes,3+,Graduate,No,8750,4996,130,360,1,Rural,Y
TNFSH2223,Male,Yes,0,Graduate,No,4310,0,130,360,,Semiurban,Y
TNFSH2224,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
TNFSH2225,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
TNFSH2226,Male,Yes,0,Graduate,,3333,2500,128,360,1,Semiurban,Y
TNFSH2229,Male,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,Y
TNFSH2231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Y
TNFSH2234,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
TNFSH2236,Male,Yes,2,Graduate,No,4566,0,100,360,1,Urban,N
TNFSH2237,Male,No,1,Graduate,,3667,0,113,180,1,Urban,Y
TNFSH2239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Y
TNFSH2243,Male,Yes,0,Not Graduate,No,3010,3136,,360,0,Urban,N
TNFSH2244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
TNFSH2250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
TNFSH2255,Male,No,3+,Graduate,No,9167,0,185,360,1,Rural,Y
TNFSH2262,Male,Yes,3+,Graduate,No,9504,0,275,360,1,Rural,Y
TNFSH2263,Male,Yes,0,Graduate,No,2583,2115,120,360,,Urban,Y
TNFSH2265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
TNFSH2266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
TNFSH2272,Male,Yes,2,Graduate,No,3276,484,135,360,,Semiurban,Y
TNFSH2277,Female,No,0,Graduate,No,3180,0,71,360,0,Urban,N
TNFSH2281,Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,Y
TNFSH2284,Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,Y
TNFSH2287,Female,No,0,Graduate,No,1500,1800,103,360,0,Semiurban,N
TNFSH2288,Male,Yes,2,Not Graduate,No,2889,0,45,180,0,Urban,N
TNFSH2296,Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,N
TNFSH2297,Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
TNFSH2300,Female,No,0,Not Graduate,No,1963,0,53,360,1,Semiurban,Y
TNFSH2301,Female,No,0,Graduate,Yes,7441,0,194,360,1,Rural,N
TNFSH2305,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Y
TNFSH2308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Y
TNFSH2314,Female,No,0,Not Graduate,No,2213,0,66,360,1,Rural,Y
TNFSH2315,Male,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,N
TNFSH2317,Male,Yes,3+,Graduate,No,81000,0,360,360,0,Rural,N
TNFSH2318,Female,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,N
TNFSH2319,Male,Yes,0,Graduate,,6256,0,160,360,,Urban,Y
TNFSH2328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,N
TNFSH2332,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Y
TNFSH2335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,Semiurban,N
TNFSH2337,Female,No,0,Graduate,No,2995,0,60,360,1,Urban,Y
TNFSH2341,Female,No,1,Graduate,No,2600,0,160,360,1,Urban,N
TNFSH2342,Male,Yes,2,Graduate,Yes,1600,20000,239,360,1,Urban,N
TNFSH2345,Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,Y
TNFSH2347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y
TNFSH2348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
TNFSH2357,Female,No,0,Not Graduate,No,2720,0,80,,0,Urban,N
TNFSH2361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y
TNFSH2362,Male,Yes,1,Graduate,No,7250,1667,110,,0,Urban,N
TNFSH2364,Male,Yes,0,Graduate,No,14880,0,96,360,1,Semiurban,Y
TNFSH2366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y
TNFSH2367,Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N
TNFSH2368,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Y
TNFSH2369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
TNFSH2370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y
TNFSH2377,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y
TNFSH2379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N
TNFSH2386,Male,No,0,Graduate,,12876,0,405,360,1,Semiurban,Y
TNFSH2387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Y
TNFSH2390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y
TNFSH2393,Female,,,Graduate,No,10047,0,,240,1,Semiurban,Y
TNFSH2398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y
TNFSH2401,Male,Yes,0,Graduate,No,2213,1125,,360,1,Urban,Y
TNFSH2403,Male,No,0,Graduate,Yes,10416,0,187,360,0,Urban,N
TNFSH2407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y
TNFSH2408,Male,No,0,Graduate,No,3660,5064,187,360,1,Semiurban,Y
TNFSH2409,Male,Yes,0,Graduate,No,7901,1833,180,360,1,Rural,Y
TNFSH2418,Male,No,3+,Not Graduate,No,4707,1993,148,360,1,Semiurban,Y
TNFSH2422,Male,No,1,Graduate,No,37719,0,152,360,1,Semiurban,Y
TNFSH2424,Male,Yes,0,Graduate,No,7333,8333,175,300,,Rural,Y
TNFSH2429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y
TNFSH2434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y
TNFSH2435,Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,N
TNFSH2443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
TNFSH2444,Male,No,1,Not Graduate,Yes,2769,1542,190,360,,Semiurban,N
TNFSH2446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,N
TNFSH2447,Male,Yes,2,Not Graduate,No,1958,1456,60,300,,Urban,Y
TNFSH2448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,N
TNFSH2449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Y
TNFSH2453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y
TNFSH2455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y
TNFSH2459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y
TNFSH2467,Male,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,N
TNFSH2472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y
TNFSH2473,Male,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,N
TNFSH2478,,Yes,0,Graduate,Yes,2083,4083,160,360,,Semiurban,Y
TNFSH2484,Male,Yes,3+,Graduate,No,7740,0,128,180,1,Urban,Y
TNFSH2487,Male,Yes,0,Graduate,No,3015,2188,153,360,1,Rural,Y
TNFSH2489,Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,Y
TNFSH2493,Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N
TNFSH2494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y
TNFSH2500,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,Urban,N
TNFSH2501,,Yes,0,Graduate,No,16692,0,110,360,1,Semiurban,Y
TNFSH2502,Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,Y
TNFSH2505,Male,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
TNFSH2515,Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,Y
TNFSH2517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,N
TNFSH2519,Male,Yes,3+,Graduate,No,4691,0,100,360,1,Semiurban,Y
TNFSH2522,Female,No,0,Graduate,Yes,2500,0,93,360,,Urban,Y
TNFSH2524,Male,No,2,Graduate,No,5532,4648,162,360,1,Rural,Y
TNFSH2527,Male,Yes,2,Graduate,Yes,16525,1014,150,360,1,Rural,Y
TNFSH2529,Male,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,Y
TNFSH2530,,Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,N
TNFSH2531,Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,Y
TNFSH2533,Male,Yes,2,Graduate,No,2947,1603,,360,1,Urban,N
TNFSH2534,Female,No,0,Not Graduate,No,4350,0,154,360,1,Rural,Y
TNFSH2536,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,Rural,Y
TNFSH2537,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,Y
TNFSH2541,Male,Yes,0,Graduate,No,10833,0,234,360,1,Semiurban,Y
TNFSH2543,Male,Yes,2,Graduate,No,8333,0,246,360,1,Semiurban,Y
TNFSH2544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Y
TNFSH2545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N
TNFSH2547,Male,Yes,1,Graduate,No,18333,0,500,360,1,Urban,N
TNFSH2555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,Y
TNFSH2556,Male,No,0,Graduate,No,2435,0,75,360,1,Urban,N
TNFSH2560,Male,No,0,Not Graduate,No,2699,2785,96,360,,Semiurban,Y
TNFSH2562,Male,Yes,1,Not Graduate,No,5333,1131,186,360,,Urban,Y
TNFSH2571,Male,No,0,Not Graduate,No,3691,0,110,360,1,Rural,Y
TNFSH2582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,Y
TNFSH2585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,N
TNFSH2586,Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,Y
TNFSH2587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,Y
TNFSH2588,Male,Yes,0,Graduate,No,4625,2857,111,12,,Urban,Y
TNFSH2600,Male,Yes,1,Graduate,Yes,2895,0,95,360,1,Semiurban,Y
TNFSH2602,Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,N
TNFSH2603,Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Y
TNFSH2606,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
TNFSH2615,Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,Y
TNFSH2618,Male,Yes,1,Not Graduate,No,4050,5302,138,360,,Rural,N
TNFSH2619,Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Y
TNFSH2622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Y
TNFSH2624,Male,Yes,0,Graduate,No,20833,6667,480,360,,Urban,Y
TNFSH2625,,No,0,Graduate,No,3583,0,96,360,1,Urban,N
TNFSH2626,Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,Y
TNFSH2634,Female,No,1,Graduate,No,13262,0,40,360,1,Urban,Y
TNFSH2637,Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N
TNFSH2640,Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,Y
TNFSH2643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
TNFSH2648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
TNFSH2652,Male,No,0,Graduate,No,5815,3666,311,360,1,Rural,N
TNFSH2659,Male,Yes,3+,Graduate,No,3466,3428,150,360,1,Rural,Y
TNFSH2670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y
TNFSH2682,Male,Yes,,Not Graduate,No,3074,1800,123,360,0,Semiurban,N
TNFSH2683,Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,N
TNFSH2684,Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,N
TNFSH2689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
TNFSH2690,Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Y
TNFSH2692,Male,Yes,3+,Graduate,Yes,5677,1424,100,360,1,Rural,Y
TNFSH2693,Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,Y
TNFSH2697,Male,No,0,Graduate,No,4680,2087,,360,1,Semiurban,N
TNFSH2699,Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,Y
TNFSH2705,Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Y
TNFSH2706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
TNFSH2714,Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,Y
TNFSH2716,Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Y
TNFSH2717,Male,Yes,0,Graduate,No,1025,5500,216,360,,Rural,Y
TNFSH2720,Male,Yes,3+,Graduate,No,4281,0,100,360,1,Urban,Y
TNFSH2723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,N
TNFSH2729,Male,No,1,Graduate,No,11250,0,196,360,,Semiurban,N
TNFSH2731,Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
TNFSH2732,Male,No,0,Not Graduate,,2550,2042,126,360,1,Rural,Y
TNFSH2734,Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,Y
TNFSH2738,Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,Y
TNFSH2739,Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,N
TNFSH2740,Male,Yes,3+,Graduate,No,6417,0,157,180,1,Rural,Y
TNFSH2741,Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Y
TNFSH2743,Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,N
TNFSH2753,Female,No,1,Graduate,,3652,0,95,360,1,Semiurban,Y
TNFSH2755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Y
TNFSH2757,Female,Yes,0,Not Graduate,No,3017,663,102,360,,Semiurban,Y
TNFSH2767,Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,Y
TNFSH2768,Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N
TNFSH2772,Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Y
TNFSH2776,Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,N
TNFSH2777,Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,Y
TNFSH2778,Male,Yes,2,Graduate,Yes,6633,0,,360,0,Rural,N
TNFSH2784,Male,Yes,1,Not Graduate,No,2492,2375,,360,1,Rural,Y
TNFSH2785,Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,Y
TNFSH2788,Male,Yes,0,Not Graduate,No,2454,2333,181,360,0,Urban,N
TNFSH2789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N
TNFSH2792,Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Y
TNFSH2794,Female,No,0,Graduate,No,2667,1625,84,360,,Urban,Y
TNFSH2795,Male,Yes,3+,Graduate,Yes,10139,0,260,360,1,Semiurban,Y
TNFSH2798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Y
TNFSH2804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Y
TNFSH2807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Y
TNFSH2813,Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,Y
TNFSH2820,Male,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,Y
TNFSH2821,Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,Y
TNFSH2832,Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,N
TNFSH2833,Male,Yes,0,Not Graduate,No,4467,0,120,360,,Rural,Y
TNFSH2836,Male,No,0,Graduate,No,3333,0,70,360,1,Urban,Y
TNFSH2837,Male,Yes,3+,Graduate,No,3400,2500,123,360,0,Rural,N
TNFSH2840,Female,No,0,Graduate,No,2378,0,9,360,1,Urban,N
TNFSH2841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,N
TNFSH2842,Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,Y
TNFSH2847,Male,Yes,,Graduate,No,5116,1451,165,360,0,Urban,N
TNFSH2855,Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Y
TNFSH2862,Male,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,N
TNFSH2863,Male,Yes,3+,Graduate,No,6406,0,150,360,1,Semiurban,N
TNFSH2868,Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Y
TNFSH2872,,Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,N
TNFSH2874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y
TNFSH2877,Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y
TNFSH2888,Male,No,0,Graduate,,3182,2917,161,360,1,Urban,Y
TNFSH2892,Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Y
TNFSH2893,Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,N
TNFSH2894,Female,Yes,0,Graduate,No,3166,0,36,360,1,Semiurban,Y
TNFSH2898,Male,Yes,1,Graduate,No,1880,0,61,360,,Rural,N
TNFSH2911,Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N
TNFSH2912,Male,Yes,1,Graduate,No,4283,3000,172,84,1,Rural,N
TNFSH2916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y
TNFSH2917,Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Y
TNFSH2925,,No,0,Graduate,No,4750,0,94,360,1,Semiurban,Y
TNFSH2926,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,N
TNFSH2928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,Semiurban,Y
TNFSH2931,Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,N
TNFSH2933,,No,3+,Graduate,Yes,9357,0,292,360,1,Semiurban,Y
TNFSH2936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,Y
TNFSH2938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,Y
TNFSH2940,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,Y
TNFSH2941,Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,N
TNFSH2943,Male,No,,Graduate,No,2987,0,88,360,0,Semiurban,N
TNFSH2945,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,Y
TNFSH2948,Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,Y
TNFSH2949,Female,No,3+,Graduate,,416,41667,350,180,,Urban,N
TNFSH2950,Male,Yes,0,Not Graduate,,2894,2792,155,360,1,Rural,Y
TNFSH2953,Male,Yes,3+,Graduate,No,5703,0,128,360,1,Urban,Y
TNFSH2958,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,Y
TNFSH2959,Female,Yes,1,Graduate,No,12000,0,496,360,1,Semiurban,Y
TNFSH2960,Male,Yes,0,Not Graduate,No,2400,3800,,180,1,Urban,N
TNFSH2961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Y
TNFSH2964,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,Y
TNFSH2974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y
TNFSH2978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,Y
TNFSH2979,Male,Yes,3+,Graduate,No,4106,0,40,180,1,Rural,Y
TNFSH2983,Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,Y
TNFSH2984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y
TNFSH2990,Female,No,0,Graduate,Yes,4583,0,133,360,0,Semiurban,N
