編號,地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價(萬元/坪),總面積(坪),主建物佔比,型態,屋齡,樓別/樓高,主要用途,交易標的,交易筆棟數,建物現況格局,車位總價(萬元),管理組織,電梯,備註,,
388,北區開元路４８５巷２９號十樓之６,南台比佛利大樓,113/04/22,965,25.9,37.23,73.37%,住宅大樓(11層含以上有電梯),25,十層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
389,北區實踐街１４巷８號,,113/04/25,700,,49.11,,透天厝,18,全/二層,住家用,建物,土:0 建物:1 車位:0,4房2廳3衛,,無,無,土地所有權人為中華民國;建物坐落地號：實踐段601地號;親友、員工、共有人或其他特殊關係間之交易;,,
390,北區開元路５２１號二十一樓之２,成大城,113/04/13,766,32.2,23.76,60.82%,住宅大樓(11層含以上有電梯),8,二十一層/二十四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,,,
391,北區北成路１２８巷４５弄１４號九樓,悅和雅,113/04/21,950,21.7,43.83,56.24%,華廈(10層含以下有電梯),29,九層/九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
392,北區長榮路五段１５１巷１號,,113/04/12,830,,32.42,,透天厝,51,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
393,北區文賢路１１２２巷５０弄１６號,,113/04/06,"1,500",,41.48,,透天厝,38,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,6房3廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;(包含)公共設施保留地(用地);,,
394,北區和緯路二段７１巷１１弄３１號,,113/04/13,500,,26.37,,透天厝,27,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
395,北區旭日街１２０巷６號九樓之１,,113/04/06,"1,060",24.6,43.07,61.07%,住宅大樓(11層含以上有電梯),21,九層/十一層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
396,北區北園街８巷２６號四樓之２,世紀之門,113/04/23,"1,040",22.5,46.12,64.72%,住宅大樓(11層含以上有電梯),16,四層/十九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
397,北區公園路５９１之４４號,大北公園新座,113/04/24,"1,200",13.7,87.89,88.88%,住宅大樓(11層含以上有電梯),30,"一層,二層,三層,四層,騎樓/十三層",住商用,建物,土:0 建物:1 車位:0,6房3廳4衛,,有,有,土地為仁愛之家所有;建物坐落地號：正興段501地號;建物坐落地號：正興段501地號;,,
398,北區海安路三段７９８號四樓之３,文海硯,113/04/07,"3,800",39.8,95.59,63.74%,住宅大樓(11層含以上有電梯),7,四層/二十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,3房2廳3衛,,有,有,,,
399,北區大和路３３０巷２１號,,113/04/02,"2,500",,154.37,,透天厝,32,全/三層,住商用,房地(土地+建物),土:1 建物:1 車位:0,8房1廳8衛,,無,有,陽台外推;頂樓加蓋;其他增建;,,
400,北區小東路３０７巷１０９號,,113/04/13,416.04,,42.59,,透天厝,36,全/三層,住商用,房地(土地+建物),土:1 建物:1 車位:0,2房1廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
401,北區大武街６１７號,,113/04/18,232,,16.79,,透天厝,44,全/二層,住商用,建物,土:0 建物:1 車位:0,4房1廳2衛,,無,無,本案土地為財團法人台灣省私立台南仁愛之家所有，向其租賃使用;建物坐落地號：康祥段91地號;親友、員工、共有人或其他特殊關係間之交易;,,
402,北區開元路５２１號二十一樓之５,成大城,113/04/27,770,30.6,25.16,59.47%,住宅大樓(11層含以上有電梯),8,二十一層/二十四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房1廳1衛,,有,有,,,
403,北區長榮路四段３１巷４之４號,,113/04/06,640,13.7,46.82,80.03%,公寓(5樓含以下無電梯),38,"五層,夾層/五層",住家用,房地(土地+建物),土:1 建物:1 車位:0,7房2廳6衛,,無,無,,,
404,北區大興街２４６巷３８弄２３號,,113/04/17,680,,27.65,,透天厝,42,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
405,北區文成路７５０巷１８６號,,113/04/18,"2,980",,67.00,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,有,,,
406,北區文成路７５０巷１８８號,,113/04/19,"2,980",,67.81,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,有,,,
407,北區文成一路９８號九樓之６,,113/04/22,"1,830",40.7,44.98,60.03%,住宅大樓(11層含以上有電梯),1,九層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
408,北區北忠街６６號四樓之３,,113/04/12,370,22.4,16.50,79.67%,華廈(10層含以下有電梯),36,四層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
409,北區勝利路２２２號六樓之２,開元大廈,113/04/13,300,20,14.98,91.82%,華廈(10層含以下有電梯),44,六層/六層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房1廳1衛,,有,有,,,
410,北區大興街６０２巷１弄３２號,,113/04/30,254,,24.72,,透天厝,30,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房1廳4衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
411,北區裕民街１０４號三樓之２,,113/04/15,225,15.4,14.63,75.29%,公寓(5樓含以下無電梯),44,三層/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,無,無,,,
412,北區臨安路二段２５６號十五樓之５,太子龍,113/04/10,"1,800",24.1,74.83,71.62%,住宅大樓(11層含以上有電梯),24,十五層/二十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,4房2廳2衛,,有,有,,,
413,北區開南街２７５巷１２弄３６號四樓之２,,113/04/16,"1,888",40.5,46.62,67.41%,華廈(10層含以下有電梯),8,四層/五層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,(包含)公共設施保留地(用地);,,
414,北區成功路５８４號八樓之５,笑傲江山,113/04/30,258,28.4,9.10,74.70%,住宅大樓(11層含以上有電梯),29,八層/十二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,有,有,,,
415,北區公園路７６９巷２０弄５１號,,113/04/24,640,,26.77,,透天厝,49,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,其他增建;,,
416,北區公園路１３４號七樓之３,,113/04/30,210,21.8,9.62,75.38%,華廈(10層含以下有電梯),35,七層/十層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1衛,,有,有,陽台外推;,,
417,北區北園街８巷５５號六樓之３,,113/04/23,313,11.5,27.12,78.82%,華廈(10層含以下有電梯),42,六層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,,,
418,北區文賢路１１２２巷６８號,,113/04/12,"1,650",,68.71,,透天厝,44,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房1廳5衛,,無,無,頂樓加蓋;其他增建;,,
419,北區海安路三段７８１巷２２１號,,113/04/26,"5,900",,135.61,,透天厝,3,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房3廳6衛,,無,有,,,
420,北區公園路６５５號五樓之２,公園小品,113/04/13,130,13.3,9.75,66.64%,華廈(10層含以下有電梯),29,五層/五層,住家用,建物,土:0 建物:1 車位:0,1房1衛,,無,有,土地為向仁愛之家租賃使用;建物坐落地號：正覺段966地號;,,
421,北區公園路５８７之３５號五樓,甜甜家園,113/04/13,405,12.9,31.36,76.02%,公寓(5樓含以下無電梯),35,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,無,,,
422,北區長榮路五段４１巷６２號二樓之１,長榮新城,113/04/30,"1,000",22.1,45.17,59.15%,住宅大樓(11層含以上有電梯),21,二層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,,,
423,北區育德一街７號九樓,太子紐約57街,113/04/04,800,33.1,24.19,69.31%,華廈(10層含以下有電梯),20,九層/十層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,,,
424,北區長榮路五段４１巷５２號四樓之５,長榮新城,113/04/13,750,16.6,45.14,59.17%,住宅大樓(11層含以上有電梯),21,四層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,親友、員工、共有人或其他特殊關係間之交易;,,
425,北區公園路５０９巷３３號六樓之４,鳳凰大樓,113/04/15,480,19.7,24.40,65.43%,華廈(10層含以下有電梯),42,六層/六層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,無,有,(包含)公共設施保留地(用地);,,
426,北區開南街２１８號十樓之１,,113/04/03,"2,288",47.3,53.06,61.38%,住宅大樓(11層含以上有電梯),1,十層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,180,有,有,土地總價新台幣1264.8萬元整；建物總價新台幣843.2萬元整；車位總價新台幣180萬元整。,,
427,北區北門路二段５４７巷５２號五樓之５,,113/04/05,970,22.3,43.49,60.44%,住宅大樓(11層含以上有電梯),20,五層/十一層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
428,北區東豐路２２７巷２４弄１５號三樓之９,成大小築,113/04/18,195,25.7,7.59,72.01%,華廈(10層含以下有電梯),34,"三層,通道/五層",住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
429,北區文成一路８６號十二樓之６,,113/04/26,"1,818",42.4,44.93,60.10%,住宅大樓(11層含以上有電梯),1,十二層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,165,有,有,,,
430,北區公園路１２８號四樓之１５,,113/04/09,400,12.2,32.87,75.79%,華廈(10層含以下有電梯),43,四層/八層,住家用,房地(土地+建物),土:13 建物:1 車位:0,2房2廳1衛,,有,有,(包含)公共設施保留地(用地);,,
431,北區文賢路１０３０巷２５弄２１號,,113/04/14,770,,30.95,,透天厝,42,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,其他增建;瑕疵物件;,,
432,北區開元路５０７號十七樓之１,成大城,113/04/23,"1,200",24.8,48.31,58.40%,住宅大樓(11層含以上有電梯),8,十七層/二十四層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳2衛,,有,有,(包含)公共設施保留地(用地);,,
433,北區正覺街２９之２號,,113/04/21,666,,37.62,,透天厝,45,全/二層,住商用,建物,土:0 建物:1 車位:0,6房2廳2衛,,無,無,土地為仁愛之家所有。;建物坐落地號：正興段498-7地號;頂樓加蓋;其他增建;,,
434,北區西門路三段１５１號六樓之２,御鼎雙璽,113/04/28,"1,780",28.7,61.92,58.20%,住宅大樓(11層含以上有電梯),15,六層/十九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
435,北區長榮路五段２７６巷１０號二樓之２,,113/04/01,420,17.2,24.38,80.41%,公寓(5樓含以下無電梯),39,"二層,走廊/五層",住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳1衛,,無,無,,,
436,北區開元路５１７號十六樓之３,成大城,113/04/03,"1,188",30.3,45.14,60.93%,住宅大樓(11層含以上有電梯),8,十六層/二十四層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,120,有,有,,,
437,北區武聖路１１４巷１０弄９號,,113/04/04,"2,600",,58.33,,透天厝,1,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,無,,,
438,北區文賢路３１３巷５７號,,113/04/03,"3,500",,82.15,,透天厝,1,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,有,,,
439,北區開元路５２３號十樓之８,成大城,113/04/07,"1,200",29.8,45.14,60.93%,住宅大樓(11層含以上有電梯),8,十層/二十四層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,150,有,有,,,
440,北區開南街２１６號九樓之１,,113/04/01,"2,270",47,52.17,61.38%,住宅大樓(11層含以上有電梯),1,九層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,175,有,有,土地總價新台幣1257萬元整；建物總價新台幣838萬元整；車位總價新台幣175萬元整。,,
441,北區和緯路四段９５巷１２號,,113/04/11,720,30.3,23.73,84.60%,公寓(5樓含以下無電梯),42,一層/五層,住商用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,其他增建;,,
442,北區開元路４８５巷４１弄１２號十樓之５,桂花鄉大樓,113/04/07,820,26.1,31.44,72.34%,住宅大樓(11層含以上有電梯),23,十層/十四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
443,北區西門路四段７４號,,113/04/15,800,,38.15,,透天厝,36,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳4衛,,無,無,,,
444,北區北園街３８號三樓之２,新好國宅,113/04/14,900,23.2,38.85,68.77%,住宅大樓(11層含以上有電梯),26,三層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,4房2廳2衛,,有,有,,,
445,北區開元路３４２巷８弄１５號,,113/04/16,640,,23.73,,透天厝,52,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
446,北區裕民街８４巷１號二樓之２,,113/04/15,248,9,27.66,70.30%,華廈(10層含以下有電梯),31,二層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房1廳2衛,,無,有,親友、員工、共有人或其他特殊關係間之交易;,,
447,北區公園北路１５６號二樓之１８,公園麗緻大樓,113/04/11,"1,158",28.9,40.02,55.88%,住宅大樓(11層含以上有電梯),18,二層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,80,有,有,陽台外推;,,
448,北區開南街２１８號十樓之５,,113/04/07,"2,226",47.8,50.50,61.36%,住宅大樓(11層含以上有電梯),1,十層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,175,有,有,土地總價新台幣1230.6萬元整；建物總價新台幣820.4萬元整；車位總價新台175幣萬元整。,,
449,北區北園街８巷２６號十四樓之６,世紀之門,113/04/18,720,23.5,30.66,59.59%,住宅大樓(11層含以上有電梯),16,十四層/十九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
450,北區開南街２１８號十樓之６,,113/04/08,"1,673",47.3,38.99,62.73%,住宅大樓(11層含以上有電梯),1,十層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,160,有,有,土地總價新台幣907.8萬元整；建物總價新台幣605.2萬元整；車位總價新台幣160萬元整。,,
451,北區開元路４８５巷４１弄１０號五樓之９,桂花鄉大樓,113/04/01,55,3.9,14.25,69.67%,住宅大樓(11層含以上有電梯),23,五層/十四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房1廳1衛,,無,有,親友、員工、共有人或其他特殊關係間之交易;,,
452,北區北園街３０之３號,新好國宅,113/04/11,275,21.8,12.63,76.28%,住宅大樓(11層含以上有電梯),26,"一層,夾層/十四層",商辦用,房地(土地+建物)+車位,土:2 建物:1 車位:1,1房1衛,,有,有,法院訴訟後自行和解,,
453,北區開南街２１６號十樓之２,,113/04/17,"1,668",47.2,38.99,62.73%,住宅大樓(11層含以上有電梯),1,十層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,160,有,有,土地總價新台幣904.8萬元整；建物總價新台幣603.2萬元整；車位總價新台幣160萬元整。,,
454,北區實踐街２８號四樓之３,大道新城(一區),113/04/22,948,21.7,43.68,59.56%,住宅大樓(11層含以上有電梯),21,四層/十二層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
455,北區開元路５２３號二十二樓之７,成大城,113/04/05,820,27.2,30.14,60.81%,住宅大樓(11層含以上有電梯),8,二十二層/二十四層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房1廳1衛,,有,有,,,
456,北區長榮路五段１２５號二樓之２,,113/04/15,600,17.1,35.15,86.45%,公寓(5樓含以下無電梯),44,二層/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
457,北區成功路３８８號二樓之９,興南大廈,113/04/21,695,18.2,38.18,68.08%,住宅大樓(11層含以上有電梯),42,二層/十二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
458,北區富北街９號十樓,,113/04/11,"3,160",13.1,240.93,86.74%,住宅大樓(11層含以上有電梯),30,十層/十三層,商業用,房地(土地+建物)+車位,土:1 建物:1 車位:1,,,有,有,,,
459,北區公園南路３６２巷１０號十八樓之３,皇龍第一園,113/04/09,660,25.5,25.86,65.72%,住宅大樓(11層含以上有電梯),29,十八層/二十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
460,北區成功路６００巷２０號五樓之３,小三房,113/04/12,"1,065",35.5,29.97,69.50%,華廈(10層含以下有電梯),6,五層/五層,住家用,房地(土地+建物)+車位,土:4 建物:1 車位:1,3房1廳2衛,,有,有,,,
461,北區成功路３８８號九樓之９,興南大廈,113/04/08,325,26.9,12.10,70.58%,住宅大樓(11層含以上有電梯),41,九層/十二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
462,北區大興街２８０巷２０弄２７號,,113/04/02,650,,33.34,,透天厝,43,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,,,
463,北區實踐街３９巷２９號二樓之３,興典公寓,113/04/16,220,22.7,9.68,64.07%,華廈(10層含以下有電梯),12,二層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1衛,,有,有,,,
464,北區開元路５０１號十八樓之７,成大城,113/04/06,938,26.8,35.01,57.92%,住宅大樓(11層含以上有電梯),8,十八層/二十四層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,1房1廳1衛,,有,有,,,
465,北區文成三路３０３號二樓之２,文元及第公園樓,113/04/03,"1,800",37.3,48.32,56.51%,住宅大樓(11層含以上有電梯),3,二層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
466,北區長榮路四段３１巷５號,,113/04/04,"1,200",30.2,39.71,78.33%,公寓(5樓含以下無電梯),39,"一層,夾層/五層",住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,有,無,夾層;其他增建;,,
467,北區長北街４２號三樓之３,,113/04/01,868,39.3,22.07,64.49%,華廈(10層含以下有電梯),1,三層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,,,有,有,土地售價：260萬4000元；建物售價：607萬6000元。,,
468,北區武聖路３６巷１２號,,113/04/21,341.78,,39.90,,透天厝,42,全/三層,住商用,房地(土地+建物),土:4 建物:1 車位:0,4房1廳2衛,,無,無,"本案價金含免除債務新台幣244萬元整，視同贈與已申報贈與稅含土地增值稅或其他稅費63,588元;親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;",,
469,北區文成二路２３１號,,113/04/27,"1,770",45,39.33,66.24%,住宅大樓(11層含以上有電梯),2,"一層,見其他登記事項/十三層",住商用,房地(土地+建物),土:1 建物:1 車位:0,2廳1衛,,有,有,,,
470,北區開元路５１７號十二樓之６,成大城,113/04/27,"1,200",28.9,47.19,60.81%,住宅大樓(11層含以上有電梯),8,十二層/二十四層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,120,有,有,,,
471,北區育德路６０７號,,113/04/02,"2,960",,78.34,,透天厝,22,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房4廳7衛,,無,無,陽台外推;其他增建;,,
472,北區長北街１２１號,,113/04/08,"1,080",21.1,51.16,80.04%,華廈(10層含以下有電梯),31,"一層,二層,三層,騎樓/八層",住商用,房地(土地+建物),土:2 建物:1 車位:0,4房3廳3衛,,有,有,,,
473,北區大武街２３７號三樓之１,,113/04/08,"1,230",38,31.84,66.25%,華廈(10層含以下有電梯),,三層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,105,有,有,,,
474,北區中華北路一段１０５巷４８號五樓之５,南台儷園,113/04/10,630,16.6,38.02,61.35%,華廈(10層含以下有電梯),29,五層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,親友、員工、共有人或其他特殊關係間之交易;,,
475,北區長北街４２號三樓之２,,113/04/09,748,38.8,19.27,64.96%,華廈(10層含以下有電梯),1,三層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,,,有,有,土地售價：224萬4000元；建物售價：523萬6000元。,,
476,北區大武街２３７號二樓之３,,113/04/30,975,41.3,23.60,64.83%,華廈(10層含以下有電梯),1,二層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,含裝潢費;,,
477,北區長榮路五段１７５巷７號,,113/04/26,595,,20.55,,透天厝,53,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,無,其他增建;,,
478,北區臨安路二段１４３巷１１２弄２號,,113/04/26,"1,600",,60.60,,透天厝,13,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳3衛,,無,無,,,
479,北區公園南路３６２巷２２號二十一樓之６,皇龍第一園,113/04/21,835,19.8,42.28,69.12%,住宅大樓(11層含以上有電梯),29,二十一層/二十五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,有,有,,,
480,北區育德二路７７２號,,113/04/29,"4,280",,117.13,,透天厝,11,全/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳6衛,,無,有,,,
481,北區公園南路３７０巷１１號七樓之１,太子龍,113/04/08,"1,315",25.9,50.72,69.48%,住宅大樓(11層含以上有電梯),24,七層/二十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
482,北區文賢路１０３０巷６６弄２號,,113/04/21,"2,800",,76.09,,透天厝,9,全/四層,住家用,房地(土地+建物),土:3 建物:1 車位:0,5房2廳4衛,,無,有,陽台外推;頂樓加蓋;其他增建;,,
483,北區長榮路四段５６號六樓之１,知安根大廈,113/04/08,"3,950",35.1,112.42,71.00%,住宅大樓(11層含以上有電梯),17,六層/十九層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:2,4房2廳3衛,,有,有,,,
484,北區開元路４８５巷４１弄６號十三樓之２,桂花鄉大樓,113/04/23,300,30,10.02,65.96%,住宅大樓(11層含以上有電梯),23,十三層/十四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,陽台外推;,,
485,北區大興街３２５巷５號,,113/04/20,"2,588",,80.40,,透天厝,15,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳5衛,,無,無,其他增建;,,
486,北區和緯路四段９５巷９號三樓,,113/04/24,520,17.5,29.78,76.28%,公寓(5樓含以下無電梯),43,三層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,陽台外推;,,
487,北區公園南路３４７號七樓之２,站前CASA大樓,113/04/15,"1,298",30.9,42.03,67.19%,住宅大樓(11層含以上有電梯),15,七層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,,,
488,北區中華北路一段１０５巷４８號七樓之８,南台儷園,113/04/27,950,24.5,38.71,60.83%,華廈(10層含以下有電梯),30,七層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
489,北區北門路二段６０６號,,113/04/30,"1,320",22.7,58.28,69.81%,華廈(10層含以下有電梯),20,"一層,二層,騎樓/十層",住商用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
490,北區實踐街３１巷２１號,,113/04/30,"1,200",,49.07,,透天厝,40,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳4衛,,無,無,,,
491,北區實踐街１０３巷３３號,,113/04/24,540,,26.99,,透天厝,44,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
492,北區文賢路３６５巷１８弄１１號,,113/04/14,"1,750",,57.54,,透天厝,30,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳5衛,,無,無,頂樓加蓋;其他增建;,,
493,北區開元路７３巷７４弄８號,,113/04/19,810,,24.08,,透天厝,55,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,有,有,頂樓加蓋;,,
494,北區大武街２３７號五樓之１,,113/04/17,"1,364",39.8,35.27,66.25%,華廈(10層含以下有電梯),,五層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,185,有,有,,,
495,北區西門路四段４６２號,,113/03/14,"1,500",,90.10,,透天厝,42,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,7房4衛,,無,無,增值稅買方繳納親友、員工、共有人或其他特殊關係間之交易;其他增建;,,
496,北區林森路三段２６８號五樓之１,iLife大樓,113/03/28,"1,780",32.9,54.04,67.36%,住宅大樓(11層含以上有電梯),9,五層/二十六層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:3,4房2廳3衛,,有,有,持分買賣親友、員工、共有人或其他特殊關係間之交易;,,
497,北區公園南路３６３號八樓之２,金生金室大樓,113/03/08,875,38.3,22.85,66.42%,住宅大樓(11層含以上有電梯),17,八層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
498,北區南園街１２７巷１５９號二樓之７,,113/03/27,782,41,19.08,71.13%,華廈(10層含以下有電梯),1,二層/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,,,
499,北區北成路８０巷２２弄２２號六樓,萬通世界二期九樓,113/03/19,"1,050",24.8,42.31,59.94%,華廈(10層含以下有電梯),29,"六層,夾層/九層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳2衛,,有,有,陽台外推;夾層;,,
500,北區公園南路３６５號十三樓之２,金生金室大樓,113/03/06,275,30.8,8.94,56.92%,住宅大樓(11層含以上有電梯),17,十三層/十四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,有,有,,,
501,北區民德路１１５巷１７號,,113/03/27,780,,57.13,,透天厝,39,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房1廳2衛,,無,無,,,
502,北區長北街４２號五樓之２,,113/03/30,893,46.4,19.27,64.96%,華廈(10層含以下有電梯),1,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房1廳1衛,,有,有,"土地售價：234萬9000元；建物售價：548萬1000元。含裝潢費1,100,000元;",,
503,北區和緯路四段９５巷２９號,,113/03/08,550,21.5,25.55,85.44%,公寓(5樓含以下無電梯),42,一層/五層,住商用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳1衛,,無,無,,,
