10ASub1,10ASub2,10ASub3,10BSub1,10BSub2,10BSub3,11ASub1,11ASub2,11ASub3,11BSub1,11BSub2,11BSub3,12ASub1,12ASub2,12ASub3,12BSub1,12BSub2,12BSub3,TestNG3,TestSG3,學校,入學管道
70,82,89,75,69,75,58,74,73,62,85,69,92,93,81,84,87,94,50,50,國立陽明交通大學,個人申請
90,94,90,85,85,89,92,79,80,92,90,77,83,84,77,90,90,87,55,54,國立陽明交通大學,考試分發
69,86,70,62,73,62,76,79,62,65,80,55,77,88,61,78,89,77,46,33,國立成功大學,考試分發
94,88,89,92,91,88,93,83,86,92,90,84,81,96,90,94,93,92,58,43,國立陽明交通大學,個人申請
53,72,76,49,55,70,51,36,68,47,45,68,77,55,63,74,59,85,29,27,中國文化大學,考試分發
44,72,66,41,63,68,36,38,75,40,42,64,71,38,70,68,33,79,36,37,國立屏東大學,考試分發
63,51,70,67,64,79,75,49,73,80,60,73,69,54,73,82,51,84,47,46,國立嘉義大學,考試分發
40,63,74,46,61,64,48,62,63,58,67,58,86,58,64,67,50,73,33,32,逢甲大學,考試分發
62,76,76,62,61,64,53,63,62,63,72,63,66,56,68,67,49,74,39,27,淡江大學,考試分發
72,61,71,70,63,69,68,50,75,57,54,70,79,54,67,78,50,72,42,46,元智大學,考試分發
89,67,84,85,55,74,78,62,62,87,73,61,76,60,74,0,53,88,41,42,長庚大學,考試分發
74,69,76,76,56,66,77,60,67,72,59,56,72,48,68,75,59,77,39,28,長榮大學,考試分發
82,76,76,77,64,75,63,67,58,64,76,59,95,62,64,76,62,83,52,42,國立成功大學,個人申請
75,76,77,72,67,71,75,65,71,75,82,63,74,67,73,82,61,82,45,33,國立成功大學,考試分發
77,62,79,73,61,74,74,54,69,73,61,70,69,48,77,94,59,87,45,34,國立臺北大學,考試分發
80,64,74,78,53,72,79,44,68,77,48,67,84,63,76,91,62,87,44,44,國立高雄師範大學,考試分發
65,74,77,65,61,76,67,60,72,77,65,68,65,58,65,78,60,78,42,31,國立中正大學,考試分發
65,74,84,70,67,82,78,72,76,81,72,73,81,72,80,90,62,78,53,40,國立成功大學,個人申請
54,66,67,63,64,67,62,59,68,63,73,63,75,71,67,72,62,77,54,53,國立成功大學,個人申請
61,61,69,64,59,62,71,59,71,78,67,69,83,63,70,81,63,82,42,40,國立中正大學,考試分發
71,73,77,71,70,77,71,74,72,75,76,66,74,70,74,84,64,87,46,45,國立成功大學,考試分發
80,71,70,73,68,60,66,79,72,66,70,73,87,59,72,79,69,74,47,49,國立中央大學,個人申請
58,77,70,59,70,65,51,56,61,59,73,58,86,66,70,76,71,82,46,45,國立中興大學,個人申請
69,86,74,68,85,61,69,79,68,71,85,72,88,81,64,75,68,90,53,39,國立清華大學,考試分發
80,70,84,81,74,77,81,64,80,82,73,79,84,77,72,92,70,84,50,49,國立成功大學,考試分發
72,81,76,74,76,68,72,78,68,72,76,69,74,72,64,72,69,83,48,46,國立中山大學,個人申請
70,77,76,75,65,77,86,67,70,90,73,70,86,77,69,82,71,78,54,40,國立成功大學,個人申請
80,84,78,81,75,82,86,78,73,80,82,69,76,74,72,84,73,65,45,42,國立陽明交通大學,個人申請
88,79,81,91,74,72,79,79,81,85,74,75,73,72,74,80,77,82,46,33,國立臺灣師範大學,個人申請
76,70,82,71,67,78,68,73,75,76,73,77,95,77,76,86,79,82,51,50,國立成功大學,個人申請
77,78,84,80,78,82,77,77,74,78,74,76,75,85,72,2,80,80,50,47,國立臺灣大學,考試分發
69,75,76,71,68,71,69,73,72,67,77,66,68,77,71,74,82,88,51,44,國立成功大學,個人申請
66,79,84,66,71,78,68,81,72,77,85,75,80,71,76,82,82,84,50,45,國立成功大學,考試分發
85,67,83,81,85,82,87,77,77,89,85,79,89,84,80,97,82,74,55,40,國立陽明交通大學,個人申請
79,77,88,81,78,82,87,76,82,83,84,81,74,78,80,80,83,88,50,48,國立清華大學,考試分發
83,85,84,81,85,77,84,88,75,87,88,73,82,90,69,85,82,83,54,52,國立清華大學,考試分發
83,85,85,84,89,81,82,87,80,85,94,78,81,93,74,71,91,85,53,39,國立臺灣大學,考試分發
56,73,64,55,58,61,60,41,65,48,57,49,59,37,60,74,62,74,31,25,-,-
57,57,65,65,62,59,64,62,57,63,66,58,72,46,66,49,61,81,41,39,元智大學,個人申請
66,42,81,64,45,79,53,50,80,46,59,69,76,42,61,2,4,0,29,33,-,-
68,71,70,62,48,59,61,60,64,61,60,60,70,63,58,66,34,69,37,34,國立高雄師範大學,考試分發
57,66,73,47,64,67,44,49,68,51,42,68,70,42,59,61,39,76,39,41,國立聯合大學,考試分發
66,69,73,57,69,71,70,59,77,72,66,66,78,55,66,69,36,68,36,26,國立宜蘭大學,考試分發
82,76,82,72,71,69,69,58,73,73,59,75,70,59,63,73,42,48,50,47,國立成功大學,考試分發
52,64,75,47,62,70,44,49,67,51,53,64,79,51,69,70,45,77,34,36,輔仁大學,考試分發
72,54,80,65,53,78,53,59,78,58,61,75,99,54,71,71,43,59,41,42,國立台北大學,特教考試
61,47,76,63,39,61,50,57,80,45,62,73,78,49,67,74,49,76,37,38,淡江大學,考試分發
83,81,81,90,69,78,81,77,76,73,72,70,80,65,65,89,50,76,51,49,國立清華大學,個人申請
59,67,76,64,68,73,66,63,74,59,68,66,71,60,63,72,55,80,41,37,臺北市立大學,考試分發
71,67,79,65,63,73,61,51,80,55,60,73,68,47,70,83,51,80,42,30,國立嘉義大學,考試分發
72,53,71,65,53,67,70,43,77,74,55,63,71,60,66,86,53,80,43,42,元智大學,考試分發
74,68,74,83,63,80,70,64,77,71,67,80,79,68,67,81,53,58,51,48,國立成功大學,個人申請
63,57,82,62,61,79,63,62,68,61,61,68,72,62,68,80,62,84,41,28,高雄醫學大學,考試分發
63,60,72,62,58,50,70,50,54,73,62,49,75,60,62,80,62,83,47,35,國立臺北大學,個人申請
76,73,81,75,62,78,65,70,70,78,69,72,79,65,70,74,62,89,42,31,逢甲大學,個人申請
60,72,70,63,59,68,61,62,67,63,65,65,80,51,63,75,61,79,42,39,國立臺中教育大學,考試分發
69,77,80,66,67,81,68,66,70,74,83,73,80,81,70,92,62,91,50,36,國立陽明交通大學,個人申請
72,62,86,76,61,77,73,51,79,72,59,79,94,64,72,82,66,87,47,46,國立臺灣大學,個人申請
71,62,77,70,67,78,68,61,68,68,68,63,75,67,69,75,64,84,44,45,國立嘉義大學,考試分發
86,73,81,84,58,74,78,64,74,81,74,63,76,75,59,91,69,68,51,45,國立中正大學,個人申請
77,77,73,73,70,73,77,62,77,77,56,78,87,75,84,86,68,84,47,46,國立成功大學,考試分發
74,75,87,80,63,68,81,49,68,81,72,72,85,62,77,84,72,91,44,47,國立中央大學,考試分發
84,72,86,79,59,80,76,67,72,73,58,68,87,75,69,86,72,79,49,47,國立中正大學,考試分發
85,68,78,81,61,79,70,71,71,71,72,68,79,72,69,89,71,81,45,45,國立臺南大學,考試分發
62,62,75,69,67,70,77,80,75,82,83,74,69,78,70,87,73,85,52,46,國立成功大學,個人申請
69,73,79,72,67,73,61,71,74,66,82,74,80,85,74,86,72,88,51,51,國立臺灣大學,個人申請
85,75,81,85,69,80,80,70,73,82,75,67,90,86,72,86,73,89,48,36,國立中興大學,考試分發
68,70,84,70,72,73,65,74,74,69,71,74,73,72,70,80,78,81,51,50,國立成功大學,考試分發
73,89,76,73,83,66,72,79,71,77,79,65,80,97,66,80,76,2,51,38,國立清華大學,考試分發
79,78,80,72,82,79,72,82,81,76,84,75,78,85,70,80,82,76,53,39,國立成功大學,個人申請
82,73,81,82,79,78,82,69,83,78,77,79,78,83,73,93,86,90,47,35,國立臺北大學,考試分發
88,89,93,90,94,89,91,79,85,91,81,88,102,92,86,97,92,96,57,42,國立陽明交通大學,個人申請
94,86,93,92,89,88,89,85,91,93,86,91,98,101,90,97,98,101,58,43,國立成功大學,繁星推薦
60,68,66,60,53,62,50,62,54,45,58,54,52,60,42,48,49,63,28,21,-,-
62,63,70,62,49,38,64,51,62,70,72,63,81,63,57,74,57,74,41,43,國立高雄師範大學,考試分發
71,64,78,64,63,64,52,43,59,50,50,54,65,63,61,70,59,13,36,37,國立東華大學,考試分發
60,69,67,62,71,53,73,67,61,4,4,0,4,1,4,73,61,6,50,37,國立臺灣大學,考試分發
53,56,72,58,59,63,50,48,71,44,56,72,76,70,65,76,61,42,45,43,國立臺灣海洋大學,考試分發
73,72,77,60,82,70,60,66,69,69,68,69,70,78,65,79,61,70,47,45,國立臺北大學,個人申請
83,59,65,84,49,54,81,66,66,79,62,61,100,70,44,85,63,47,43,37,國立中央大學,考試分發
73,66,73,67,63,68,63,58,73,62,63,66,98,66,76,79,61,36,38,37,國立嘉義大學,考試分發
53,51,71,65,57,68,67,61,62,68,70,59,61,65,46,74,61,28,40,28,國立臺南大學,考試分發
61,62,70,62,59,69,59,48,73,73,55,80,7,2,2,51,65,2,35,28,-,-
67,70,77,73,60,76,55,61,63,63,63,59,72,70,58,63,67,0,40,30,-,-
68,71,69,64,60,60,72,74,67,63,83,59,90,68,52,76,70,9,47,34,國立彰化師範大學,考試分發
63,63,77,63,58,70,63,62,75,69,64,72,95,71,72,69,71,67,39,41,國立中興大學,考試分發
63,76,74,65,68,66,58,68,73,65,68,73,92,75,75,79,72,72,48,45,國立中山大學,個人申請
59,74,81,66,73,74,69,59,69,76,60,69,80,73,65,80,71,63,46,33,國立中山大學,考試分發
77,64,78,75,68,70,70,69,75,68,63,69,70,74,59,71,71,20,39,29,長庚大學,考試分發
66,68,71,72,76,71,67,66,71,65,65,63,77,74,62,62,74,27,42,41,逢甲大學,考試分發
67,84,77,65,64,66,75,71,64,68,68,61,77,74,75,86,71,60,51,49,國立中央大學,個人申請
20,55,58,26,54,59,26,52,60,30,58,58,62,73,50,52,73,60,24,26,崑山科技大學,科大申請
56,69,66,69,61,64,82,72,59,84,73,61,63,74,56,87,76,49,43,31,國立中山大學,考試分發
76,70,78,78,68,76,74,67,71,73,73,78,68,78,69,81,77,45,52,38,國立中央大學,考試分發
83,72,81,82,70,76,70,71,75,73,78,77,93,77,68,81,76,85,51,47,國立中央大學,個人申請
83,57,78,78,62,69,73,66,73,71,75,76,79,83,68,79,77,82,48,45,國立高雄大學,考試分發
78,90,74,81,89,67,80,88,69,84,86,63,74,88,64,93,77,67,53,40,國立成功大學,考試分發
73,83,86,70,78,78,81,70,75,81,76,74,77,82,75,82,81,90,47,44,國立中山大學,考試分發
75,73,83,78,69,82,63,79,71,74,76,69,82,90,76,83,81,76,49,48,國立中山大學,個人申請
77,79,84,81,81,83,77,71,81,83,83,78,73,81,75,85,81,45,49,46,國立成功大學,考試分發
70,75,83,75,78,76,77,82,75,73,83,74,93,86,78,87,85,88,54,39,國立中央大學,個人申請
92,87,82,90,74,82,90,69,80,93,81,78,80,89,75,93,84,47,52,39,國立清華大學,考試分發
73,77,79,72,80,73,68,74,70,72,81,70,76,94,70,77,84,49,51,38,國立中山大學,考試分發
77,67,76,70,59,66,79,71,75,78,71,68,62,85,70,86,88,49,51,38,國立中山大學,考試分發
76,75,83,73,65,77,72,71,75,79,73,71,82,84,74,90,91,92,47,46,國立成功大學,考試分發
79,73,87,83,74,85,85,79,83,87,85,76,82,88,80,85,88,90,51,51,國立臺灣大學,考試分發
86,71,89,85,74,90,92,73,84,90,75,83,87,86,79,86,90,82,53,54,國立清華大學,個人申請
83,90,88,82,95,79,84,82,76,88,86,75,62,97,66,87,93,84,55,49,國立臺灣大學,特殊選才
55,53,77,58,66,75,43,40,62,33,38,65,0,1,60,69,31,38,35,36,-,-
54,58,68,56,58,48,60,50,68,58,50,63,81,52,71,73,46,86,41,30,國立聯合大學,考試分發
63,62,66,64,53,59,62,57,67,65,58,66,25,48,63,78,51,76,37,38,-,-
68,63,84,62,67,78,60,64,80,61,73,73,80,76,76,82,56,85,49,48,國立中山大學,個人申請
50,72,76,50,62,52,47,51,70,54,52,75,74,68,70,68,59,73,41,30,國立雲林科技大學,科大申請
67,68,75,62,74,73,61,69,72,61,65,64,74,61,60,83,59,88,44,44,國立彰化師範大學,考試分發
73,68,79,75,71,75,62,55,56,74,69,70,86,75,70,78,61,83,45,43,國立臺灣科技大學,科大申請
55,80,75,60,60,65,62,62,72,66,66,70,73,46,69,85,60,83,48,46,國立成功大學,個人申請
76,67,76,73,58,66,75,62,70,77,71,56,73,64,60,81,60,84,40,42,國立中興大學,考試分發
86,67,76,80,51,71,77,69,73,73,71,72,72,49,69,77,58,81,44,43,國立中正大學,考試分發
70,84,86,75,81,82,80,76,76,79,74,81,78,76,78,88,62,81,54,53,國立陽明交通大學,個人申請
58,49,79,61,71,62,58,73,70,60,71,78,88,70,61,76,61,67,48,47,國立中正大學,個人申請
70,45,66,62,52,70,50,47,69,49,48,66,71,54,61,71,62,82,36,26,-,-
59,71,73,61,67,62,68,67,62,67,75,63,81,79,64,82,64,77,52,38,國立成功大學,個人申請
78,59,86,81,68,78,74,67,78,70,70,71,84,63,66,82,63,86,42,42,國立高雄大學,考試分發
59,69,66,61,63,67,60,67,64,60,69,64,84,64,63,76,62,91,39,41,國立中興大學,考試分發
77,68,82,79,68,80,76,63,68,74,67,64,81,59,67,81,62,82,43,43,國立高雄大學,個人申請
57,69,78,51,66,55,59,69,67,57,69,59,88,63,60,76,69,79,39,41,逢甲大學,個人申請
78,76,83,78,64,71,78,77,68,85,78,61,68,84,65,84,69,84,46,34,國立臺灣師範大學,考試分發
77,76,86,81,76,82,84,68,72,84,78,71,82,83,67,89,72,82,49,37,國立中正大學,個人申請
74,51,62,61,50,53,76,53,54,68,45,54,76,53,62,87,74,83,46,33,國立中興大學,考試分發
77,72,81,76,69,76,76,64,77,85,62,77,76,80,75,87,72,77,42,31,逢甲大學,考試分發
52,75,72,49,75,67,55,75,59,60,78,57,74,83,65,76,75,72,43,42,國立成功大學,考試分發
82,77,79,81,71,79,77,66,78,78,80,76,81,81,74,89,76,86,58,43,國立陽明交通大學,個人申請
59,67,76,69,72,65,73,69,78,76,81,72,83,81,65,92,74,78,52,37,國立清華大學,個人申請
55,71,73,66,60,73,69,65,69,74,71,71,93,77,66,79,76,84,50,48,國立臺灣大學,考試分發
78,71,89,76,69,78,71,72,72,76,79,75,78,79,71,81,81,83,47,46,國立政治大學,考試分發
71,79,81,73,81,74,83,83,82,86,84,75,84,87,77,85,79,80,54,40,國立成功大學,個人申請
73,71,79,72,72,74,69,69,73,62,69,71,81,89,65,81,79,83,50,36,國立成功大學,考試分發
77,80,83,81,71,76,83,73,81,89,73,84,73,79,76,90,85,82,53,47,國立成功大學,考試分發
71,83,64,65,71,65,77,73,62,69,74,64,76,82,55,81,89,77,41,39,國立成功大學,考試分發
67,71,81,72,70,81,84,66,79,76,76,73,83,81,77,90,92,85,52,38,國立中山大學,個人申請
83,88,81,85,84,85,86,91,76,92,90,71,76,90,74,87,93,83,51,46,國立陽明交通大學,考試分發
84,88,79,85,84,75,82,81,71,83,76,69,82,90,66,95,90,88,51,49,國立臺灣大學,考試分發
90,83,84,84,78,81,86,82,79,85,87,73,81,84,81,92,92,90,55,55,國立清華大學,個人申請
33,47,58,41,44,56,38,38,52,38,41,42,66,29,48,58,33,89,25,28,國立聯合大學,科大申請
49,59,72,60,60,76,55,57,73,58,56,69,80,39,75,78,44,87,34,24,空軍官校,軍校招生 
88,69,85,85,65,81,83,60,77,86,65,76,66,45,76,98,46,93,47,48,國立臺北大學,個人申請
67,62,80,69,60,68,63,58,68,70,68,63,85,50,72,88,61,91,45,45,國立成功大學,個人申請
53,65,53,58,43,62,57,44,77,51,54,75,75,58,68,69,59,88,38,39,中山醫學大學,考試分發
57,56,67,56,63,61,66,56,71,65,65,63,78,62,75,84,62,92,31,32,-,-
62,67,68,68,70,63,64,70,62,68,74,61,86,72,72,87,62,90,47,44,國立中央大學,個人申請
61,66,65,62,56,49,59,56,58,60,62,56,76,60,74,81,60,88,39,38,國立嘉義大學,考試分發
69,60,76,66,63,73,60,72,74,57,72,70,75,53,71,78,59,92,39,35,東海大學,考試分發
68,76,87,67,64,80,65,64,76,68,69,68,83,50,81,82,62,93,46,47,臺北醫學大學,考試分發
72,61,77,72,63,76,65,56,79,70,59,76,86,61,84,93,61,93,50,45,國立陽明交通大學,個人申請
74,80,75,78,77,68,84,70,70,77,75,71,90,74,77,91,58,95,51,51,中山醫學大學,考試分發
79,59,77,72,65,68,63,58,68,70,64,76,90,59,82,83,61,96,45,44,國立成功大學,考試分發
82,78,89,75,71,84,87,67,88,87,73,81,89,58,86,94,58,98,45,46,國立清華大學,考試分發
85,71,90,82,63,82,83,78,82,87,82,84,88,72,84,92,60,96,41,43,國立中興大學,繁星推薦
60,61,66,63,58,68,69,74,68,68,81,72,74,63,73,91,61,92,49,46,國立陽明交通大學,個人申請
61,82,70,67,73,65,63,72,70,66,79,71,69,69,75,81,60,96,50,37,國立清華大學,考試分發
73,63,86,77,60,78,65,66,74,64,64,68,85,68,78,86,67,96,48,45,嘉藥學校財團法人嘉南藥理大學,科大申請
88,86,78,83,88,66,75,76,76,2,4,6,71,76,75,87,65,97,55,40,中國醫藥大學,個人申請
65,68,81,71,66,70,71,73,84,63,69,74,98,75,80,93,66,96,50,38,國立中山大學,考試分發
74,72,78,69,70,74,72,77,81,73,76,76,80,71,75,91,66,95,49,48,國立政治大學,考試分發
75,82,83,68,69,76,72,78,78,71,75,69,81,69,89,92,70,95,48,47,國立成功大學,考試分發
88,63,83,80,71,73,79,72,76,79,71,76,74,73,74,90,71,92,47,43,國立成功大學,考試分發
91,78,84,85,78,80,96,80,73,90,85,67,89,77,80,95,70,95,56,54,中國醫藥大學,個人申請
77,72,88,78,69,84,84,71,80,87,75,79,83,73,88,92,70,96,53,54,國立成功大學,考試分發
68,71,80,72,73,74,66,72,76,64,79,72,80,68,76,80,75,94,42,42,國立聯合大學,考試分發
75,86,75,68,70,64,73,80,71,73,77,66,86,75,79,90,77,94,50,48,國立中央大學,考試分發
67,84,74,74,75,68,78,78,80,86,81,79,86,79,77,95,80,95,57,56,高雄醫學大學,個人申請
72,73,81,72,62,79,73,66,78,74,64,77,82,75,82,89,77,96,45,44,國立陽明交通大學,考試分發
82,87,88,84,87,88,81,79,79,83,82,78,88,77,81,89,80,95,49,47,國立成功大學,考試分發
59,68,75,64,67,72,61,74,70,59,77,69,94,72,80,87,80,94,45,43,國立成功大學,考試分發
68,82,79,72,84,81,71,67,81,77,81,78,85,73,85,87,81,92,46,49,國立中正大學,考試分發
61,68,73,54,66,75,69,68,80,64,72,78,83,77,79,86,82,96,42,44,國立中央大學,考試分發
61,74,74,70,73,75,64,63,82,73,75,75,87,75,78,93,84,96,50,50,國立成功大學,考試分發
83,90,85,86,87,88,93,86,79,94,92,82,96,92,84,98,87,97,57,54,國立清華大學,個人申請
89,84,89,85,84,86,98,84,83,95,83,80,89,88,88,101,85,94,55,55,國立成功大學,考試分發
79,85,90,82,92,90,86,77,85,84,85,82,89,92,83,94,93,96,53,52,高雄醫學大學,考試分發
95,85,91,96,86,93,93,90,90,93,89,87,86,92,95,96,96,95,57,56,國立臺灣大學,考試分發
75,47,82,71,40,66,68,53,72,74,54,76,86,47,75,2,1,0,41,44,-,-
78,69,81,66,47,62,57,38,76,53,60,60,71,39,68,4,31,77,34,27,-,-
55,48,61,52,51,46,44,37,67,53,50,61,65,43,59,73,40,76,33,24,國立中山大學,個人申請
58,49,71,54,50,65,45,33,61,44,43,52,75,33,57,63,39,71,32,31,-,-
71,61,76,72,54,81,59,62,68,59,62,70,72,46,72,72,41,68,38,40,國立中興大學,考試分發
69,63,82,81,64,76,76,61,82,71,59,78,91,60,69,77,42,71,44,42,東海大學,考試分發
51,51,67,55,55,66,61,62,70,55,66,72,58,49,63,58,42,73,36,27,-,-
70,53,69,66,61,67,68,44,64,65,64,58,88,42,75,90,47,85,40,37,國立嘉義大學,考試分發
62,58,65,62,50,61,60,53,71,64,58,73,81,58,66,63,50,78,46,42,高雄醫學大學,個人申請
66,58,71,71,59,71,71,61,73,63,62,70,80,41,66,80,47,79,43,42,-,-
54,58,56,55,51,52,62,65,62,70,67,63,64,59,71,4,49,75,46,43,高雄醫學大學,考試分發
87,69,85,84,60,77,83,54,75,80,61,66,67,60,71,87,50,80,44,33,國立高雄大學,考試分發
48,67,74,51,64,75,30,55,73,30,60,72,74,60,73,59,60,80,43,41,國立嘉義大學,考試分發
61,73,76,60,75,61,49,65,61,48,72,63,83,61,67,67,62,87,43,32,國立臺灣海洋大學,考試分發
69,63,78,69,58,75,71,58,77,63,77,77,64,62,72,85,61,87,45,34,中原大學,考試分發
73,88,78,71,77,73,67,66,78,73,73,78,81,69,78,77,61,80,51,48,-,-
73,70,83,71,80,76,74,68,72,71,70,66,79,60,73,76,62,66,40,41,高雄醫學大學,考試分發
74,72,82,71,64,78,75,67,70,74,69,70,58,65,74,68,58,71,48,47,-,-
81,81,68,80,64,57,90,82,79,85,80,51,69,61,43,71,61,0,57,42,中山醫學大學,考試分發
79,70,84,77,63,79,64,64,75,72,71,78,85,72,77,90,61,84,46,45,國立高雄大學,考試分發
85,69,86,81,72,74,68,55,75,66,69,73,89,66,71,89,62,74,37,36,-,-
90,85,89,86,83,85,79,79,81,80,87,79,70,70,78,87,60,86,56,55,國防醫學院,軍校招生 
73,65,83,67,67,86,69,58,81,79,71,80,88,63,79,82,65,89,46,46,國立成功大學,考試分發
73,81,85,72,74,79,73,69,72,71,76,68,84,68,76,89,61,89,50,48,國立成功大學,考試分發
66,58,78,80,65,75,84,61,76,89,61,83,71,64,77,89,62,88,49,48,國立陽明交通大學,個人申請
76,91,82,74,80,79,72,80,71,70,85,60,65,84,74,77,62,79,48,46,國立中正大學,個人申請
76,80,68,76,75,73,65,70,78,70,61,69,84,68,76,90,66,89,45,44,國立中興大學,考試分發
82,84,77,82,71,77,79,72,76,80,77,80,86,75,69,93,65,76,52,48,國立中央大學,考試分發
74,79,77,77,75,64,78,81,75,71,77,61,75,74,80,95,69,84,46,46,國立中正大學,考試分發
65,75,80,60,67,66,47,71,71,61,69,68,72,59,64,66,69,74,40,42,中山醫學大學,考試分發
82,81,80,75,73,73,85,70,76,84,76,76,79,79,79,4,70,75,55,41,國立清華大學,考試分發
66,70,78,70,73,68,54,66,69,58,62,62,96,60,75,86,73,84,45,44,國立臺灣師範大學,考試分發
72,73,78,77,76,80,78,71,79,73,78,78,81,80,82,91,74,75,53,53,國立清華大學,個人申請
87,89,88,82,89,90,84,83,79,76,77,75,87,81,82,96,75,79,55,55,中國醫藥大學,考試分發
93,87,87,87,81,88,87,89,87,81,80,81,82,77,84,89,79,91,58,57,中國醫藥大學,個人申請
75,65,70,72,66,69,78,75,72,77,79,75,84,77,75,91,79,84,56,42,中山醫學大學,個人申請
94,81,86,91,77,88,94,82,78,93,77,82,79,84,83,96,81,87,55,53,國立清華大學,繁星推薦
78,92,80,74,83,71,82,81,69,89,82,68,81,92,78,97,80,88,58,43,國立陽明交通大學,個人申請
76,73,79,76,78,82,81,80,82,80,85,76,75,82,77,60,83,66,48,36,國立成功大學,考試分發
70,82,81,78,73,75,87,81,76,89,74,69,92,81,79,96,91,84,54,50,國立成功大學,個人申請
51,49,49,56,27,49,61,60,58,65,59,52,73,61,7,4,2,6,35,26,國立高雄師範大學,考試分發
71,46,78,65,47,75,59,43,60,49,38,6,6,44,4,4,2,0,32,34,-,-
53,39,74,58,44,72,51,38,63,47,41,49,75,52,61,78,52,80,29,34,國立嘉義大學,考試分發
82,78,85,77,71,84,78,62,84,78,69,81,86,69,73,88,52,66,43,48,國立中央大學,考試分發
58,70,69,58,77,64,58,62,73,60,62,73,80,68,67,76,57,51,48,48,長庚大學,個人申請
64,51,72,69,45,58,77,57,64,72,59,60,75,74,68,83,56,68,40,30,國立中正大學,考試分發
93,98,81,92,100,77,94,96,79,91,100,84,42,101,82,98,98,43,59,44,國立臺灣大學,考試分發
88,71,55,86,60,56,87,69,69,86,62,71,67,56,49,102,61,66,51,38,-,-
54,70,78,50,63,66,51,58,68,54,62,69,75,50,68,63,65,77,40,39,國立臺南大學,個人申請
66,62,71,69,60,73,69,60,70,67,70,67,71,73,62,85,67,1,47,34,國立高雄師範大學,考試分發
63,58,74,68,66,78,81,71,72,78,71,74,82,79,72,94,67,84,51,49,國立陽明交通大學,運動績優
83,72,80,88,65,79,94,77,88,89,69,85,62,79,69,100,69,83,51,37,國立陽明交通大學,個人申請
82,79,87,81,67,77,77,73,76,74,72,70,81,76,77,77,66,84,49,37,國立高雄師範大學,考試分發
85,77,85,80,73,83,85,70,76,89,71,73,88,73,78,91,68,88,47,46,國立臺灣師範大學,考試分發
61,64,77,68,65,70,66,62,77,70,75,74,88,68,78,91,71,90,45,44,-,-
75,85,82,79,73,77,74,81,82,72,80,71,89,89,75,94,70,81,54,52,高雄醫學大學,個人申請
59,63,70,57,65,74,65,53,74,60,66,71,75,69,72,79,70,86,45,32,國立中興大學,個人申請
79,79,74,71,77,76,80,69,73,86,76,73,75,73,69,95,74,63,51,48,國立臺灣大學,考試分發
82,64,83,83,65,84,88,67,75,84,62,77,0,81,75,97,70,69,54,52,-,-
61,64,83,62,66,77,59,52,62,58,62,67,82,69,66,92,74,24,45,44,國立中正大學,考試分發
76,79,76,72,61,66,81,74,76,77,77,68,75,84,71,94,75,78,51,37,國立中山大學,個人申請
87,90,89,86,67,83,85,82,79,83,73,77,95,79,80,97,77,91,51,51,國立陽明交通大學,考試分發
70,77,73,75,70,74,65,74,73,69,87,71,77,86,73,80,75,70,45,44,國立中山大學,個人申請
76,71,77,77,62,75,89,63,73,92,73,71,90,81,73,97,76,4,48,46,國立中央大學,考試分發
70,72,78,65,62,77,69,61,71,70,59,72,86,80,81,83,79,6,43,42,國立高雄師範大學,考試分發
81,79,81,77,70,74,77,65,76,77,79,74,76,82,61,87,76,43,48,36,國立成功大學,考試分發
87,78,81,85,60,81,90,69,75,86,80,73,74,73,72,93,76,74,50,50,國立中正大學,考試分發
70,56,67,72,62,77,84,68,72,79,70,76,71,73,77,92,77,49,48,34,國立臺灣大學,考試分發
84,66,85,88,67,85,93,66,77,96,68,79,65,71,80,91,76,88,48,44,中山醫學大學,個人申請
79,77,86,86,80,84,88,79,84,92,83,81,77,88,84,95,81,88,55,52,國防醫學院,軍校招生 
92,86,95,90,82,90,95,84,82,92,91,81,87,93,83,99,78,89,55,52,國防醫學院,軍校招生 
80,64,74,69,52,67,91,78,75,85,87,65,92,88,76,97,82,75,55,53,國立中興大學,個人申請
90,77,84,83,74,74,86,68,74,87,73,77,23,82,82,97,80,85,54,54,馬偕醫學院,繁星推薦
83,95,84,88,92,81,86,88,85,90,90,80,78,92,80,91,85,88,56,53,高雄醫學大學,考試分發
82,94,84,86,85,82,89,79,86,84,84,83,77,90,75,95,87,45,54,49,臺北醫學大學,考試分發
91,81,83,89,79,78,95,79,79,98,80,75,89,89,59,2,88,6,57,42,國立臺灣大學,個人申請
86,84,91,84,84,90,85,69,84,86,75,85,79,96,80,93,90,59,56,41,長庚大學,考試分發
80,68,82,71,69,79,74,59,69,78,71,66,80,83,76,100,95,68,51,50,國立清華大學,考試分發
88,90,87,88,87,84,93,79,81,97,90,79,89,87,84,100,97,91,58,55,臺北醫學大學,個人申請
91,94,86,99,94,91,91,91,88,90,96,85,90,101,90,101,98,88,59,44,高雄醫學大學,個人申請
87,61,78,81,59,80,82,39,74,76,62,78,77,49,73,87,46,90,42,43,國立臺南大學,考試分發
87,66,78,77,64,78,85,53,76,84,76,74,78,77,73,85,54,94,52,49,國立中山大學,個人申請
87,67,78,83,59,74,85,62,80,80,72,78,80,65,80,83,60,86,47,45,國立政治大學,考試分發
89,72,80,89,67,80,88,70,78,82,72,74,80,71,71,91,62,86,48,36,嘉藥學校財團法人嘉南藥理大學,科大申請
